Call sign,Frequency,City of license,Watts,Class
KANZ,91.1 FM,"Garden City, Kansas",100000.0,C1
KCSE,90.7 FM,"Lamar, Colorado",250.0,A
KZAN,91.7 FM,"Hays, Kansas",7500.0,C3
KZCK,88.1 FM,"Colby, Kansas",2000.0,A
KZNA,90.5 FM,"Hill City, Kansas",100000.0,C1
KZNK,90.1 FM,"Brewster, Kansas",90000.0,C1
KZNZ,91.5 FM,"Elkhart, Kansas",250.0,A
KJJP,105.7 FM,"Amarillo, Texas",43000.0,C2
KTXP,91.5 FM,"Bushland, Texas",1000.0,A
KTOT,89.5 FM,"Spearman, Texas",100000.0,C0
KGUY,91.3 FM,"Guymon, Oklahoma",140.0,A
