Election,# of candidates nominated,# of seats won,# of total votes,% of popular vote,result
1867,65.0,62.0,60818.0,22.67%,Cons. majority
1872,111.0,95.0,110556.0,34.72%,Cons. majority
1874,140.0,129.0,128059.0,39.49%,majority government
1878,121.0,63.0,180074.0,33.05%,Cons. majority
1882,112.0,72.0,160547.0,31.10%,Cons. majority
1887,184.0,79.0,312736.0,43.13%,Cons. majority
1891,194.0,90.0,350512.0,45.22%,Cons. majority
1896,190.0,117.0,401425.0,41.37%,majority government
1900,209.0,128.0,477758.0,50.25%,majority government
1904,208.0,137.0,521041.0,50.88%,majority government
1908,213.0,133.0,570311.0,48.87%,majority government
1911,214.0,85.0,596871.0,45.82%,Cons. majority
1917 *,213.0,82.0,729756.0,38.80%,coalition government
1921,204.0,118.0,1285998.0,41.15%,majority government
1925,216.0,100.0,1252684.0,39.74%,minority government
1926,189.0,114.0,1294072.0,42.74%,majority government
1930,226.0,90.0,1716798.0,44.03%,Cons. majority
1935,245.0,173.0,1967839.0,44.68%,majority government
1940,242.0,179.0,2365979.0,51.32%,majority government
1945,236.0,117.0,2086545.0,39.78%,majority government
1949,259.0,190.0,2878097.0,49.15%,majority government
1953,263.0,169.0,2743013.0,48.62%,majority government
1957,265.0,105.0,2703687.0,40.91%,PC minority
1958,265.0,49.0,2444909.0,33.50%,PC majority
1962,264.0,100.0,2862001.0,37.17%,PC minority
1963,265.0,128.0,3276995.0,41.52%,minority government
1965,265.0,131.0,3099521.0,40.18%,minority government
1968,263.0,155.0,3686801.0,47.53%,majority government
1972,263.0,109.0,3717804.0,38.42%,minority government
1974,264.0,141.0,4102853.0,43.15%,majority government
1979,282.0,114.0,4595319.0,40.11%,PC minority
1980,282.0,147.0,4855425.0,44.40%,majority government
1984,282.0,40.0,3516486.0,28.02%,PC majority
1988,294.0,83.0,4205072.0,31.92%,PC majority
1993,295.0,177.0,5598775.0,41.24%,majority government
1997,301.0,155.0,4994377.0,38.46%,majority government
2000,301.0,172.0,5251961.0,40.85%,majority government
2004,308.0,135.0,4951107.0,36.7%,minority government
2006,308.0,103.0,4477217.0,30.09%,Cons. minority
2008,308.0,76.0,3629990.0,26.24%,Cons. minority
