Rider,Bike,Laps,Time,Grid
Noriyuki Haga,Yamaha YZF-R1,23.0,38:33.762,4.0
Troy Bayliss,Ducati 999 F07,23.0,+2.770,7.0
Troy Corser,Yamaha YZF-R1,23.0,+3.735,3.0
Max Neukirchner,Suzuki GSX-R1000 K7,23.0,+8.570,2.0
Fonsi Nieto,Kawasaki ZX-10R,23.0,+12.925,9.0
Max Biaggi,Suzuki GSX-R1000 K7,23.0,+13.283,6.0
James Toseland,Honda CBR1000RR,23.0,+16.395,1.0
Ruben Xaus,Ducati 999 F06,23.0,+22.581,10.0
Régis Laconi,Kawasaki ZX-10R,23.0,+22.828,8.0
Roberto Rolfo,Honda CBR1000RR,23.0,+32.729,11.0
Shinichi Nakatomi,Yamaha YZF-R1,23.0,+38.305,17.0
Karl Muggeridge,Honda CBR1000RR,23.0,+53.685,16.0
Yoann Tiberio,Honda CBR1000RR,23.0,+53.799,14.0
Michel Fabrizio,Honda CBR1000RR,23.0,+53.915,12.0
Guillaume Dietrich,Suzuki GSX-R1000 K6,23.0,+56.474,18.0
Steve Martin,Suzuki GSX-R1000 K6,23.0,+1:11.402,13.0
Luca Morelli,Honda CBR1000RR,19.0,Retirement,19.0
Jakub Smrž,Ducati 999 F05,4.0,Retirement,15.0
Dean Ellison,Ducati 999RS,4.0,Retirement,20.0
Lorenzo Lanzi,Ducati 999 F07,0.0,Retirement,5.0
