Heat,Lane,Name,Nationality,Time
3.0,5.0,Diana Mocanu,Romania,2:09.21
5.0,3.0,Roxana Maracineanu,France,2:11.01
5.0,4.0,Nina Zhivanevskaya,Spain,2:11.60
4.0,4.0,Miki Nakao,Japan,2:11.69
3.0,4.0,Tomoko Hagiwara,Japan,2:12.15
4.0,6.0,Lindsay Benko,United States,2:12.72
4.0,3.0,Joanna Fargus,Great Britain,2:12.99
5.0,5.0,Antje Buschschulte,Germany,2:13.42
5.0,6.0,Amanda Adkins,United States,2:13.54
5.0,7.0,Louise Ørnstedt,Denmark,2:13.61
3.0,3.0,Cathleen Rund,Germany,2:13.87
4.0,5.0,Helen Don-Duncan,Great Britain,2:14.18
3.0,6.0,Kelly Stefanyshyn,Canada,2:14.28
3.0,2.0,Clementine Stoney,Australia,2:14.61
3.0,7.0,Ivette María,Spain,2:14.78
3.0,1.0,Charlene Wittstock,South Africa,2:15.10
2.0,2.0,Nadiya Beshevli,Ukraine,2:15.86
4.0,7.0,Zhan Shu,China,2:15.97
4.0,1.0,Irina Raevskaya,Russia,2:16.13
4.0,8.0,Helen Norfolk,New Zealand,2:16.22
2.0,4.0,Anu Koivisto,Finland,2:16.23
5.0,8.0,Yseult Gervy,Belgium,2:16.67
5.0,1.0,Aleksandra Miciul,Poland,2:16.71
4.0,2.0,Dyana Calub,Australia,2:17.05
2.0,5.0,Aikaterini Bliamou,Greece,2:18.07
2.0,3.0,Ana Maria Gonzalez,Cuba,2:19.35
2.0,8.0,Jana Korbasová,Slovakia,2:19.37
2.0,6.0,Annamária Kiss,Hungary,2:20.40
2.0,7.0,Şadan Derya Erke,Turkey,2:21.28
2.0,1.0,Chonlathorn Vorathamrong,Thailand,2:21.59
1.0,5.0,Marica Stražmešter,Yugoslavia,2:22.59
1.0,3.0,Kolbrún Yr Kristjánsdóttir,Iceland,2:24.33
1.0,6.0,Kuan Chia-Hsien,Chinese Taipei,2:24.61
1.0,4.0,Petra Banović,Croatia,2:25.42
3.0,8.0,Choi Soo-Min,South Korea,2:26.42
5.0,2.0,Yuliya Fomenko,Russia,DNS
