Rank,Heat (Lane),Name,Nationality,Time
1.0,16 (5),Natalie Coughlin,USA,00: 54.04
2.0,16 (7),Erica Morningstar,Canada,00: 54.30
3.0,16 (4),Lisbeth Lenton,Australia,00: 54.32
4.0,17 (4),Britta Steffen,Germany,00: 54.60
5.0,15 (2),Josefin Lillhage,Sweden,00: 54.74
6.0,17 (5),Jodie Henry,Australia,00: 54.76
7.0,17 (6),Fran Halsall,Great Britain,00: 54.80
8.0,15 (5),Marleen Veldhuis,Netherlands,00: 54.89
9.0,15 (4),Amanda Weir,USA,00: 55.03
10.0,16 (3),Alena Popchanka,France,00: 55.11
11.0,15 (6),Yanwei Xu,China,00: 55.24
12.0,17 (2),Hanna-Maria Seppälä,Finland,00: 55.33
13.0,14 (7),Ranomi Kromowidjojo,Netherlands,00: 55.38
14.0,16 (2),Malia Metella,France,00: 55.57
15.0,15 (7),Aleksandra Gerasimenya,Belarus,00: 55.59
16.0,17 (1),Vanessa García,Puerto Rico,00: 55.69
17.0,12 (4),Jeanette Ottesen,Denmark,00: 55.99
18.0,16 (6),Pang Jiaying,China,00: 56.03
18.0,17 (8),Lauren Boyle,New Zealand,00: 56.03
20.0,12 (6),Ragnheidur Ragnarsdottir,Iceland,00: 56.06
21.0,13 (1),Jana Myskova,Czech Republic,00: 56.24
22.0,16 (8),Victoria Poon,Canada,00: 56.30
23.0,13 (3),Arlene Semeco,Venezuela,00: 56.35
24.0,14 (6),Keo Ra Lee,South Korea,00: 56.44
25.0,13 (4),Sviatlana Khakhlova,Belarus,00: 56.52
25.0,15 (3),Martina Moravcová,Slovakia,00: 56.52
27.0,11 (3),Ganna Dzerkal,Ukraine,00: 56.53
28.0,17 (7),Cristina Chiuso,Italy,00: 56.56
29.0,15 (8),Magdalena Kuras,Sweden,00: 56.58
30.0,13 (5),Jana Kolukanova,Estonia,00: 56.67
31.0,12 (3),Birgit Koschischek,Austria,00: 56.75
32.0,12 (1),Elina Partõka,Estonia,00: 56.90
32.0,14 (5),Flávia Delaroli,Brazil,00: 56.90
34.0,10 (8),Karin Prinsloo,South Africa,00: 57.06
35.0,14 (8),Hannah Wilson,Hong Kong,00: 57.08
36.0,12 (7),Miroslava Najdanovski,Serbia,00: 57.11
36.0,16 (1),Ionela Cozma,Romania,00: 57.11
38.0,14 (2),Jorina Aerents,Belgium,00: 57.18
39.0,13 (7),Haruka Ueda,Japan,00: 57.21
40.0,14 (3),Petra Klosova,Czech Republic,00: 57.28
41.0,12 (2),Oxana Serikova,Ukraine,00: 57.29
42.0,13 (2),Chin Kuei Yang,Chinese Taipei,00: 57.30
43.0,12 (5),Olga Shulgina,Russia,00: 57.48
44.0,10 (5),Melanie Nocher,Ireland,00: 57.72
45.0,11 (6),Caroline Pickering Puamau,Fiji,00: 57.85
45.0,14 (4),Emily Vavourakis,Belgium,00: 57.85
47.0,13 (8),Pin Chieh Nieh,Chinese Taipei,00: 57.93
48.0,8 (1),Heather Brand,Zimbabwe,00: 57.95
49.0,12 (8),Jiratida Phinyosophon,Thailand,00: 58.03
50.0,11 (5),Sarah Yasmine Chahed,Tunisia,00: 58.07
51.0,11 (8),Loren Bahamonde,Ecuador,00: 58.21
52.0,11 (4),Hang Yu Sze,Hong Kong,00: 58.25
53.0,9 (4),Madeleine Scerri,Malta,00: 58.47
54.0,9 (3),Carolina Colorado,Colombia,00: 58.60
55.0,14 (1),Heysi Villarreal Navarro,Cuba,00: 58.61
56.0,9 (6),Natasha Moodie,Jamaica,00: 58.65
57.0,11 (7),Anna Stylianou,Cyprus,00: 58.78
