Rank,Airport,Code (IATA/ICAO),Total Cargo (Metric Tonnes),% Change
1.0,Hong Kong International Airport,HKG/VHHH,3968397.0,4.7%
2.0,Memphis International Airport,MEM/KMEM,3916535.0,0.0%
3.0,Shanghai Pudong International Airport,PVG/ZSPD,3103030.0,4.3%
4.0,Ted Stevens Anchorage International Airport,ANC/PANC,2625201.0,0.5%
5.0,Incheon International Airport,ICN/RKSI,2539222.0,5.4%
6.0,Dubai International Airport,DXB/OMDB,2269768.0,0.0%
7.0,Frankfurt Airport,FRA/EDDF,2215181.0,2.6%
8.0,Louisville International Airport,SDF/KSDF,2187766.0,1.%
9.0,Paris-Charles de Gaulle Airport,CDG/LFPG,2095733.0,4.0%
10.0,Narita International Airport,NRT/RJAA,1945110.0,10.3%
11.0,Singapore Changi Airport,SIN/WSSS,1898850.0,3.1%
12.0,Miami International Airport,MIA/KMIA,1840231.0,0.2%
13.0,Los Angeles International Airport,LAX/KLAX,1688351.0,7.2%
14.0,Beijing Capital International Airport,PEK/ZBAA,1668751.0,7.7%
15.0,Taiwan Taoyuan International Airport,TPE/RCTP,1627461.0,7.9%
16.0,London Heathrow Airport,LHR/EGLL,1569450.0,1.2%
17.0,Amsterdam Airport Schiphol,AMS/EHAM,1549686.0,0.8%
18.0,O'Hare International Airport,ORD/KORD,1506117.0,1.0%
19.0,John F. Kennedy International Airport,JFK/KJFK,1351259.0,0.1%
20.0,Suvarnabhumi Airport,BKK/VTBS,1321842.0,0.9%
21.0,Guangzhou Baiyun International Airport,CAN/ZGGG,1193036.0,4.2%
22.0,Indianapolis International Airport,IND/KIND,907594.0,4.2%
23.0,Tokyo International Airport,HND/RJTT,873016.0,6.7%
24.0,Shenzhen Bao'an International Airport,SZX/ZGSZ,826022.0,2.1%
25.0,Doha International Airport,DOH/OTBD,808099.0,14.2%
26.0,Newark Liberty International Airport,EWR/KEWR,807202.0,6.0%
27.0,Leipzig/Halle Airport,LEJ/EDDP,743981.0,16.5%
28.0,Kansai International Airport,KIX/RJBB,759278.0,2.1%
29.0,Cologne Bonn Airport,CGN/EDDK,726259.0,12.8%
30.0,Kuala Lumpur International Airport,KUL/WMKK,702116.0,0.7%
