Film,Year,Score composer,U.K. peak position,U.S. peak position
Dr. No ( soundtrack ),1962.0,Monty Norman,—,—
From Russia with Love ( soundtrack ),1963.0,John Barry,—,—
Goldfinger ( soundtrack ),1964.0,John Barry,21,8
Thunderball ( soundtrack ),1965.0,John Barry,35,25
You Only Live Twice ( soundtrack ),1967.0,John Barry,11,44
On Her Majesty's Secret Service ( soundtrack ),1969.0,John Barry,—,—
Diamonds Are Forever ( soundtrack ),1971.0,John Barry,38,57
Live and Let Die ( soundtrack ),1973.0,George Martin,7,2
The Man with the Golden Gun ( soundtrack ),1974.0,John Barry,—,—
The Spy Who Loved Me ( soundtrack ),1977.0,Marvin Hamlisch,7,2
Moonraker ( soundtrack ),1979.0,John Barry,—,—
For Your Eyes Only ( soundtrack ),1981.0,Bill Conti,8,4
Octopussy ( soundtrack ),1983.0,John Barry,75,36
A View to a Kill ( soundtrack ),1985.0,John Barry,2,1
The Living Daylights ( soundtrack ),1987.0,John Barry,5,—
Licence to Kill ( soundtrack ),1989.0,Michael Kamen,6,—
GoldenEye ( soundtrack ),1995.0,Éric Serra,10,—
Tomorrow Never Dies ( soundtrack ),1997.0,David Arnold,12,—
The World Is Not Enough ( soundtrack ),1999.0,David Arnold,11,—
Die Another Day ( soundtrack ),2002.0,David Arnold,3,8
Casino Royale ( soundtrack ),2006.0,David Arnold,7,79
Quantum of Solace ( soundtrack ),2008.0,David Arnold,9,81
Skyfall ( soundtrack ),2012.0,Thomas Newman,2,8
