Rank,Administrative Division,Area (km²),Area (sq mi),National Share (%),Comparable Country
1.0,Xinjiang,1664897.0,640900.0,17.23,Iran
2.0,Tibet,1228400.0,474300.0,12.75,South Africa
3.0,Nei Menggu,1155092.0,456800.0,12.28,Colombia
4.0,Qinghai,721000.0,278400.0,7.48,Zambia
5.0,Sichuan,485000.0,187300.0,5.03,Turkmenistan
6.0,Heilongjiang,452645.0,177600.0,4.77,Papua New Guinea
7.0,Gansu,454000.0,175300.0,4.71,Sweden
8.0,Yunnan,383194.0,152200.0,4.09,Zimbabwe
9.0,Guangxi,237558.0,91400.0,2.45,Laos
10.0,Hunan,211855.0,81800.0,2.19,Guyana
11.0,Shaanxi,205800.0,79500.0,2.13,Belarus
12.0,Hebei,188434.0,72500.0,1.94,Kyrgyzstan
13.0,Jilin,191124.0,72400.0,1.94,Senegal
14.0,Hubei,185888.0,71800.0,1.93,Syria
15.0,Guangdong,179757.0,68700.0,1.84,Cambodia
16.0,Guizhou,176153.0,68000.0,1.82,Uruguay
17.0,Henan,165536.0,64500.0,1.73,Suriname
18.0,Jiangxi,166894.0,64400.0,1.73,Tunisia
19.0,Shanxi,156711.0,60540.0,1.62,Nepal
20.0,Shandong,156700.0,60500.0,1.62,Bangladesh
21.0,Liaoning,148064.0,56300.0,1.51,Tajikistan
22.0,Anhui,140126.0,53800.0,1.44,Greece
23.0,"Fujian, PRC",124016.0,46900.0,1.26,North Korea
24.0,Zhejiang,104141.0,40209.0,1.08,Iceland
25.0,Jiangsu,102600.0,39600.0,1.06,South Korea
26.0,Chongqing,82269.0,31800.0,0.85,United Arab Emirates
27.0,Ningxia,66000.0,25500.0,0.68,Sri Lanka
28.0,Hainan,35354.0,13100.0,0.35,Moldova
29.0,Beijing,16411.0,6490.0,0.17,Swaziland
30.0,Tianjin,11917.0,4602.0,0.12,Vanuatu
31.0,Shanghai,6340.0,2448.0,0.065,Brunei
32.0,Hong Kong,1104.0,422.0,0.011,São Tomé and Príncipe
33.0,Macau,30.0,10.0,0.00028,Tuvalu
