Pick #,Player,Position,Nationality,NHL team,College/junior/club team
97.0,Don Cutts,Goaltender,Canada,New York Islanders,Rensselaer Polytechnic Institute (NCAA)
98.0,Paul Tantardini,Left Wing,Canada,California Golden Seals,Downsview Bombers (OPJHL)
99.0,Clay Hebenton,Goaltender,Canada,Vancouver Canucks,Portland Winter Hawks WCJHL
100.0,Dan Follet,Goaltender,Canada,Toronto Maple Leafs,Downsview Bombers (OPJHL)
101.0,Tom Machowski,Defence,United States,Atlanta Flames,University of Wisconsin (NCAA)
102.0,Roly Kimble,Goaltender,Canada,Los Angeles Kings,Hamilton Red Wings (OHA)
103.0,Terry Ewasiuk,Left Wing,Canada,Pittsburgh Penguins,Victoria Cougars (WCHL)
104.0,John Wensink,Left Wing,Canada,St. Louis Blues,Cornwall Royals (QMJHL)
105.0,Lou Nistico,Centre,Canada,Minnesota North Stars,London Knights (OHA)
106.0,Tom Young,Defence,Canada,Philadelphia Flyers,Sudbury Wolves (OHA)
107.0,Brian Middleton,Defence,Canada,Detroit Red Wings,University of Alberta (CIAU)
108.0,Bob Young,Defence,United States,Buffalo Sabres,University of Denver (NCAA)
109.0,Wayne Dye,Left Wing,Canada,Chicago Black Hawks,New Westminster Bruins (WCHL)
110.0,Denis Andersen,Defence,Canada,New York Islanders,New Westminster Bruins (WCHL)
111.0,Walter Johnson,Right Wing,United States,Boston Bruins,Oshawa Generals (OHA)
112.0,Michel Belisle,Centre,Canada,Montreal Canadiens,Montreal Junior Canadiens (QMJHL)
