Rider,Manufacturer,Laps,Time/Retired,Grid
Casey Stoner,Ducati,32.0,44:20.325,1.0
Chris Vermeulen,Suzuki,32.0,+9.865,3.0
Marco Melandri,Honda,32.0,+25.641,10.0
Valentino Rossi,Yamaha,32.0,+30.664,5.0
Daniel Pedrosa,Honda,32.0,+35.622,2.0
Randy de Puniet,Kawasaki,32.0,+38.306,13.0
Anthony West,Kawasaki,32.0,+41.422,12.0
Makoto Tamada,Yamaha,32.0,+42.355,11.0
Alex Barros,Ducati,32.0,+43.520,17.0
Roger Lee Hayden,Kawasaki,32.0,+43.720,16.0
Colin Edwards,Yamaha,32.0,+47.376,8.0
Shinya Nakano,Honda,32.0,+52.848,9.0
Sylvain Guintoli,Yamaha,32.0,+58.410,14.0
Carlos Checa,Honda,32.0,+1'15.366,15.0
John Hopkins,Suzuki,30.0,+2 laps,7.0
Chaz Davies,Ducati,29.0,+3 laps,20.0
Nicky Hayden,Honda,22.0,Retirement,4.0
Miguel Duhamel,Honda,10.0,Retirement,19.0
Kurtis Roberts,KR212V,5.0,Retirement,18.0
Loris Capirossi,Ducati,3.0,Retirement,6.0
