Electorate,Incumbent,Winner,Majority,Runner up
Auckland Central,Bill Parry,Bill Parry,6181.0,C R Dodd
Auckland East,Frederick Schramm,Frederick Schramm,2626.0,H T Merritt
Auckland Suburbs,Rex Mason,Rex Mason,4862.0,M S Walker
Auckland West,Michael Joseph Savage,Michael Joseph Savage,8007.0,John W Kealy
Avon,Dan Sullivan,Dan Sullivan,6179.0,Hiram Hunter
Awarua,James Hargest,James Hargest,660.0,J A Beck
Bay of Islands,Harold Rushworth,Charles Boswell,163.0,H F Guy
Bay of Plenty,Gordon Hultquist,Gordon Hultquist,169.0,Bill Sullivan
Buller,Paddy Webb,Paddy Webb,6144.0,T O Maddison
Central Otago,William Bodkin,William Bodkin,1231.0,J M MacKay
Christchurch East,Tim Armstrong,Tim Armstrong,7179.0,K I Armour
Christchurch North,Sidney Holland,Sidney Holland,492.0,Robert Macfarlane
Christchurch South,Ted Howard,Ted Howard,5995.0,Gladstone Ward
Clutha,James Alexander McLean Roy,James Alexander McLean Roy,714.0,John Edie
Dunedin Central,Peter Neilson,Peter Neilson,3814.0,W J Meade
Dunedin North,James Wright Munro,James Wright Munro,3557.0,Alexander Smith Falconer
Dunedin South,Fred Jones,Fred Jones,4314.0,Rev. Ernest Aderman
Dunedin West,Dr Gervan McMillan,Dr Gervan McMillan,2639.0,Thomas Kay Stuart Sidey
Eden,Bill Anderton,Bill Anderton,2333.0,Donald Pool
Egmont,Charles Wilkinson,Charles Wilkinson,1402.0,T E Trask
Franklin,Arthur Sexton,Jack Massey,2057.0,E Piggott
Gisborne,David William Coleman,David William Coleman,3640.0,K F Jones
Grey Lynn,John A. Lee,John A. Lee,8607.0,J A Govan
Hamilton,Charles Barrell,Charles Barrell,1860.0,Albert W Grant
Hauraki,Charles Robert Petrie,John Manchester Allen,1188.0,Robert Coulter
Hawkes Bay,Edward Luttrell Cullen,Edward Luttrell Cullen,2658.0,George Maddison
Hurunui,George Forbes,George Forbes,535.0,H E Denton
Hutt,Walter Nash,Walter Nash,6814.0,J W Andrews
Invercargill,William Denham,William Denham,2156.0,F G Hall-Jones
Kaiapoi,Morgan Williams,Morgan Williams,1535.0,G C Warren
Kaipara,Gordon Coates,Gordon Coates,1689.0,P McGregor Stewart
Lyttelton,Terry McCombs,Terry McCombs,2984.0,I J Wilson
Manawatu,Clifford Hunter,John Cobbe,1644.0,Clifford Hunter
Marlborough,(New electorate),Edwin Meachen,1525.0,Edward Healy
Marsden,James Gillespie Barclay,James Gillespie Barclay,557.0,Alfred Murdoch
Masterton,John Robertson,John Robertson,190.0,J H Irving
Mataura,David McDougall,Tom Macdonald,1515.0,David McDougall
Mid-Canterbury,Horace Herring,Arthur Grigg,74.0,Horace Herring
Motueka,Keith Holyoake,Clarence Skinner,870.0,Keith Holyoake
Napier,Bill Barnard,Bill Barnard,3937.0,John Ormond
Nelson,Harry Atmore,Harry Atmore,886.0,J R Kerr
New Plymouth,Sydney George Smith,Frederick Frost,869.0,Sydney George Smith
