Pick,Round,Player,Position,School
44.0,Round 2,Courtney Hawkins,Wide Receiver,Michigan State
59.0,Round 3,Mark Wheeler,Defensive Tackle,Texas A&M
79.0,Round 3,Tyji Armstrong,Tight End,Mississippi
86.0,Round 4,Craig Erickson,Quarterback,Miami
118.0,Round 5,Rogerick Green,Defensive Back,Kansas State
132.0,Round 5,Santana Dotson,Defensive End,Baylor
148.0,Round 6,James Malone,Linebacker,UCLA
184.0,Round 7,Ken Swilling,Defensive Back,Georgia Tech
200.0,Round 8,Anthony McDowell,Running Back,Texas Tech
222.0,Round 8,Mike Pawlawski,Quarterback,California
254.0,Round 10,Elijah Alexander,Linebacker,Kansas State
284.0,Round 11,Mazio Royster,Running Back,USC
311.0,Round 12,Klaus Wilmsmeyer,Punter,Louisville
