Round,Race Title,Grand Prix,Circuit,Date
1.0,Qantas Australian Grand Prix,Australian GP,"Albert Park , Melbourne",27 March
2.0,Petronas Malaysia Grand Prix,Malaysia GP,"Sepang International Circuit , Kuala Lumpur",10 April
3.0,UBS Chinese Grand Prix,Chinese GP,"Shanghai International Circuit , Shanghai",17 April
4.0,DHL Turkish Grand Prix,Turkish GP,"Istanbul Park , Istanbul",8 May
5.0,Gran Premio de España Santander,Spanish GP,"Circuit de Catalunya , Barcelona",22 May
6.0,Grand Prix de Monaco,Monaco GP,"Circuit de Monaco , Monte Carlo",29 May
7.0,Grand Prix du Canada,Canadian GP,"Circuit Gilles Villeneuve , Montreal",12 June
8.0,Grand Prix of Europe,European GP,"Valencia Street Circuit , Valencia",26 June
9.0,Santander British Grand Prix,British GP,"Silverstone Circuit , Silverstone",10 July
10.0,Großer Preis Santander von Deutschland,German GP,"Nürburgring , Nürburg",24 July
11.0,Eni Magyar Nagydíj,Hungarian GP,"Hungaroring , Budapest",31 July
12.0,Shell Belgian Grand Prix,Belgian GP,"Circuit de Spa-Francorchamps , Spa",28 August
13.0,Gran Premio Santander d'Italia,Italian GP,"Autodromo Nazionale Monza , Monza",11 September
14.0,SingTel Singapore Grand Prix,Singapore GP,"Marina Bay Street Circuit , Marina Bay",25 September
15.0,Japanese Grand Prix,Japanese GP,"Suzuka Circuit , Suzuka",9 October
16.0,Korean Grand Prix,Korean GP,"Korea International Circuit , Yeongam",16 October
17.0,Airtel Grand Prix of India,Indian GP,"Buddh International Circuit , Greater Noida",30 October
18.0,Etihad Airways Abu Dhabi Grand Prix,Abu Dhabi GP,"Yas Marina Circuit , Abu Dhabi",13 November
19.0,Grande Prêmio Petrobras do Brasil,Brazilian GP,"Autódromo José Carlos Pace , São Paulo",27 November
