Year,City,Rider 1,Rider 2,Horse 1,Horse 2,Association
1949.0,Rancagua,Ernesto Santos,José Gutiérrez,Vanidosa,Bototo,Temuco
1950.0,San Fernando,Roberto Palacios,Jesús Bustamante,Caduca,Satín,San Clemente
1951.0,Rancagua,Manuel Bustamante,Antonio Ríos,Prestigio,Pichanguero,Hospital
1952.0,Chillán,René Urzúa,Francisco Jara,Jovencita,Algún Día,Chépica
1953.0,Curicó,René Urzúa,Pedro Lorca,Secretaria,Picantita,Chépica
1954.0,Los Andes,Alberto Montt,Mario Molina,Perro,Estropajo,Rengo
1955.0,Melipilla,Santiago Urrutia,Atiliano Urrutia,Marmota,Mentita,Parral
1956.0,Chillán,Abelino Mora,Eliseo Calderón,Cervecero,Latosito,Temuco
1957.0,Curicó,René Urzúa,Luis Mayol,Cuspe,Reñoso,Chimbarongo
1958.0,Osorno,Alejandro Hott,Julio Hott,Huilcoco,Felizcote,Río Bueno
1959.0,Melipilla,Eduardo Siebet,Raúl González,Ña Popa,Balita,Osorno
1960.0,Maipú,Rodolfo Bustos,Segudo Zúñiga,Por si Acaso,Broche,San Carlos
1961.0,Maipú,Abelino Mora,Miguel Lamoaliatte,Aceitaíta,Pluma,Temuco
1962.0,Los Ángeles,Ramón Cardemil,Ruperto Valderrama,Manicero,Matucho,Curicó
1963.0,Linares,Ramón Cardemil,Ruperto Valderrama,Envidia,Venganza,Curicó
1964.0,Ovalle,José Manuel Aguirre,Guillermo Aguirre,Ñipán,Reparo,Los Ángeles
1965.0,San Fernando,Ramón Cardemil,Ruperto Valderrama,Manicero,Matucho,Curicó
1966.0,Valdivia,Abelino Mora,Miguel Lamoliatte,Aceitata,Flecha,Temuco
1967.0,Rancagua,Ramón Cardemil,Ruperto Valderrama,Percala,Pelotera,Curicó
1968.0,Rancagua,Ramón Cardemil,Ruperto Valderrama,Manicero,Trampero,Curicó
1969.0,Talca,Santiago Urrutia,Samuel Parot,Barranco,Huachipato,Parral
1970.0,Osorno,Pablo Quera,Raúl Cáceres,Chinganero,Barquillo,Curicó
1971.0,Talca,Carlos Gaedicke,Arno Gaedicke,Manojo,Mala Cara,Puerto Octay
1972.0,Rancagua,Ricardo de la Fuente,Ubaldo García,Risueña,Borrachita,Osorno
1973.0,Rancagua,Ramón Cardemil,Manuel Fuentes,Tabacón,Trampero,Curicó
1974.0,Talca,Sergio Bustamante,Jesús Bustamante,Forastero,Carretera,Graneros
1975.0,Rancagua,Pablo Quera,Raúl Cáceres,Tranquila,Malagueña,Curicó
1976.0,Rancagua,Ramón Gonzalez,Pedro Vergara,Placer,Angamos,Rancagua
1977.0,Rancagua,Samuel Parot,Eduardo Tamayo,Guariqueque,Desiderio,Osorno
1978.0,Rancagua,Luis Domínguez,Alberto Schwalm,Vistazo,Estribillo,Osorno
1979.0,Rancagua,Ricardo de la Fuente,Julio Buschman,Agora Qué,Rastrojo,Osorno
1980.0,Rancagua,Ricardo de la Fuente,Enrique Schwalm,Vespertino,Estribillo,Osorno
1981.0,Rancagua,Ramón Cardemil,Manuel Fuentes,Bellaco,Rival,Curicó
1982.0,Rancagua,René Guzmán,Boris Guzmán,Taponazo,Enzarte,Mulchén
1983.0,Rancagua,Leonardo García,Daniel Rey,Alborada,Ronquerita,Temuco
1984.0,Rancagua,Felipe Jiménez,Hugo Navarro,Vanidoso,Auquincano,Chillán
1985.0,Rancagua,Hernán Cardemil,Juan Pablo Cardemil,Rumana,Atinada,Curicó
1986.0,Rancagua,Hugo Cardemil,Guillermo Barra,Salteador III,Pensamiento,Curicó
1987.0,Rancagua,Juan Carlos Loaiza,Carlos Mondaca,Papayero,Rico Raco,Valdivia
1988.0,Rancagua,Juan Carlos Loaiza,Carlos Mondaca,Papayero,Rico Raco,Valdivia
1989.0,Rancagua,Jesús Bustamante,Vicente Yañez,Estribillo II,Consejero,Rancagua
1990.0,Rancagua,Hugo Cardemil,José Astaburuaga,Lechón,Reservado,Curicó
1991.0,Rancagua,Hugo Cardemil,José Astaburuaga,Lechón,Reservado,Curicó
1992.0,Rancagua,Jesús Bustamante,Vicente Yañez,Esparramo,Corsario,Rancagua
1993.0,Rancagua,Hugo Cardemil,José Astaburuaga,Esquinazo,Reservado,Curicó
1994.0,Rancagua,Juan Carlos Loaiza,Eduardo Tamayo,Esbelta,Escandaloza,Valdivia
1995.0,Rancagua,René Guzmán,José Manuel Rey,Pretal,Canteado,Melipilla
1996.0,Rancagua,René Guzmán,José Manuel Rey,Pretal,Canteado,Bío-Bío
1997.0,Rancagua,Alejandro Alvariño,Héctor Navarro,Amuleto,Morenita,Osorno
1998.0,Rancagua,José Manuel Pozo,Alejandro Pozo,Campo II,Peumo,Talca
1999.0,Rancagua,Mario Valencia,Cristián Ramírez,Bochinchero,Huachaco,Valparaíso
2000.0,Rancagua,Juan Carlos Loaiza,Eduardo Tamayo,Escorpión,Talento,Valdivia
2001.0,Rancagua,Juan Carlos Loaiza,Luis Eduardo Cortés,Banquero,Batuco,Valdivia
2002.0,Rancagua,Juan Carlos Loaiza,Eduardo Tamayo,Talento,Almendra,Valdivia
2003.0,Rancagua,Sebastián Walker,Camilo Padilla,Lucero,Destape,Valdivia
2004.0,Rancagua,Gabriel Orphanopoulos,Mariano Torres,Ahí No Mas,Guapetón,Linares
2005.0,Rancagua,Claudio Hernández,Rufino Hernández,Morenita,Inventada,Talca
2006.0,Rancagua,Claudio Hernández,Rufino Hernández,Malulo,Estruendo,Bío-Bío
2007.0,Rancagua,Juan Carlos Loaiza,Eduardo Tamayo,Talento,Fiestera,Valdivia
2008.0,Rancagua,Jesús Rodríguez,Christian Pooley,Rangoso,Canalla,Cautín
2009.0,Rancagua,Emiliano Ruiz,José Meza,Distinguido,Espinudo,Cordillera
2010.0,Rancagua,Cristóbal Cortina,Víctor Vergara,Cumpa,Tio Pedro,Cordillera
2011.0,Rancagua,Germán Varela,Pedro Vergara,Fogoso,Puntilla,O'Higgins
2012.0,Rancagua,Juan Carlos Loaiza,Eduardo Tamayo,Cantora,Alabanza,Valdivia
2013.0,Rancagua,Gustavo Valdebenito,Luis Corvalán,Compadre,Quiltralco,Malleco
