Position,Team,Points,Played,Drawn,Lost,Against,Difference
1.0,São Paulo,37.0,20.0,3.0,0.0,20.0,42
2.0,Corinthians,36.0,20.0,0.0,2.0,29.0,33
3.0,Portuguesa,28.0,20.0,2.0,5.0,20.0,26
4.0,Santos,22.0,20.0,4.0,7.0,32.0,5
5.0,Palmeiras,20.0,20.0,4.0,8.0,31.0,6
6.0,Portuguesa Santista,17.0,20.0,3.0,10.0,51.0,- 10
7.0,Ypiranga-SP,14.0,20.0,2.0,12.0,48.0,- 13
8.0,Comercial-SP,14.0,20.0,6.0,10.0,55.0,- 17
9.0,São Paulo Railway,12.0,20.0,2.0,13.0,46.0,- 19
10.0,Juventus,11.0,20.0,3.0,13.0,60.0,- 28
11.0,Jabaquara,9.0,20.0,1.0,15.0,52.0,- 25
