Rank,Name,Span metres,Span feet,Material,Year opened,Location,Country
1.0,Chenab Railway Bridge,460.0,1509.0,steel,2017.0,Reasi ( Jammu and Kashmir ),India
2.0,Xijiang Railway Bridge,450.0,1476.0,steel,2013.0,Zhaoqing ( Guangdong ),China
3.0,Qiubei Nanpanjiang Bridge,416.0,1365.0,concrete,2015.0,Qiubei County ( Yunnan ),China
4.0,Almonte Railway Bridge,384.0,1260.0,concrete,2013.0,Cáceres ( Extremadura ),Spain
5.0,Olovozavodskoy Bridge,380.0,1247.0,steel,2014.0,Novossibirsk ( Novosibirsk Oblast ),Russia
6.0,Zongqihe Bridge,360.0,1181.0,CFST,2013.0,Weixinzhen ( Guizhou ),China
7.0,Podilsko-Voskresensky Bridge,344.0,1129.0,steel,2013.0,Kiev,Ukraine
8.0,Lancanjiang River Railway Bridge,342.0,1122.0,CFST,2013.0,Shanyangxiang - Shuizhaixiang ( Yunnan ),China
9.0,Tajo Railway Bridge,324.0,1063.0,concrete,2013.0,Cáceres ( Extremadura ),Spain
10.0,Second Ondo Bridge,292.0,958.0,steel,2013.0,Ondochō ( Hiroshima ),Japan
11.0,New De Oversteek Bridge,285.0,935.0,steel,2013.0,Nijmegen ( Gelderland ),Netherlands
12.0,Yongjiang Railway Bridge,276.0,906.0,steel,2013.0,Nanning ( Guangxi ),China
13.0,Torun East Bridge,270.0,886.0,steel,2013.0,Toruń ( Kuyavian-Pomeranian Voivodeship ),Poland
14.0,New Zaporizhia Bridge,264.0,866.0,steel,2014.0,Zaporizhia ( Zaporizhia Oblast ),Ukraine
15.0,Mengdong River Bridge,255.0,837.0,CFST,2013.0,Yongshun County ( Hunan ),China
