Driver,Constructor,Laps,Time/Retired,Grid
Peter Gethin,BRM,55.0,1:18:12.60,11.0
Ronnie Peterson,March - Ford,55.0,+ 0.01,6.0
François Cevert,Tyrrell - Ford,55.0,+ 0.09,5.0
Mike Hailwood,Surtees - Ford,55.0,+ 0.18,17.0
Howden Ganley,BRM,55.0,+ 0.61,4.0
Chris Amon,Matra,55.0,+ 32.36,1.0
Jackie Oliver,McLaren - Ford,55.0,+ 1:24.83,13.0
Emerson Fittipaldi,Lotus - Pratt & Whitney,54.0,+ 1 Lap,18.0
Jo Siffert,BRM,53.0,+ 2 Laps,3.0
Jo Bonnier,McLaren - Ford,51.0,+ 4 Laps,21.0
Graham Hill,Brabham - Ford,47.0,Gearbox,14.0
Jean-Pierre Jarier,March - Ford,47.0,Not classified,24.0
Mike Beuttler,March - Ford,41.0,Engine,16.0
Henri Pescarolo,March - Ford,40.0,Suspension,10.0
Andrea de Adamich,March - Alfa Romeo,33.0,Engine,20.0
Clay Regazzoni,Ferrari,17.0,Engine,8.0
Jacky Ickx,Ferrari,15.0,Engine,2.0
Jackie Stewart,Tyrrell - Ford,15.0,Engine,7.0
Nanni Galli,March - Ford,11.0,Electrical,19.0
Tim Schenken,Brabham - Ford,5.0,Suspension,9.0
Silvio Moser,Bellasi - Ford,5.0,Suspension,22.0
Helmut Marko,BRM,3.0,Engine,12.0
John Surtees,Surtees - Ford,3.0,Engine,15.0
Rolf Stommelen,Surtees - Ford,0.0,Accident,23.0
