Draw,Song,Artist,Judging panel points,Televote votes,Televote points,Total,Result
1.0,Če zdaj odideš sama,Yuhubanda,0.0,2557.0,4.0,4.0,11
2.0,Ne boš se igral,Rebeka Dremelj,0.0,3698.0,5.0,5.0,10
3.0,Kralj neba,Polona,3.0,2220.0,0.0,3.0,12
4.0,Cry on my shoulders,Natalija Verboten,0.0,17754.0,12.0,12.0,4
5.0,Nič ne ustavi me,Monika Pučelj,8.0,2506.0,3.0,11.0,5
6.0,Fluid,Alya,4.0,4436.0,8.0,12.0,3
7.0,Tvoj glas,Ylenia Zobec,7.0,1437.0,0.0,7.0,7
8.0,Junak,Prava stvar,0.0,1292.0,0.0,0.0,14=
9.0,Kliše,Rožmarinke,12.0,4080.0,6.0,18.0,2
10.0,Plave očij,Regina,1.0,2446.0,2.0,3.0,13
11.0,"O, ženske, ženske",Tulio Furlanič,6.0,1556.0,0.0,6.0,8
12.0,If you,Diona Dim,5.0,2238.0,1.0,6.0,9
13.0,Slovo brez mej,Maja Slatinšek,2.0,4263.0,7.0,9.0,6
14.0,Stay forever,Platin,10.0,11046.0,10.0,20.0,1
15.0,Svet se vrti nazaj,Marijan Novina,0.0,1595.0,0.0,0.0,14=
