Rank,Nation,Gold,Silver,Bronze,Total
1,Soviet Union,11.0,4.0,2.0,17.0
2,Hungary,2.0,1.0,1.0,4.0
3,Poland,2.0,1.0,0.0,3.0
4,North Korea,2.0,0.0,0.0,2.0
5,Bulgaria,1.0,4.0,5.0,10.0
6,United States,1.0,3.0,3.0,7.0
7,Cuba,1.0,0.0,1.0,2.0
7,Sweden,1.0,0.0,1.0,2.0
9,East Germany,0.0,2.0,1.0,3.0
10,Japan,0.0,1.0,1.0,2.0
10,Romania,0.0,1.0,1.0,2.0
12,Finland,0.0,1.0,0.0,1.0
12,Norway,0.0,1.0,0.0,1.0
14,Czechoslovakia,0.0,0.0,2.0,2.0
15,Greece,0.0,0.0,1.0,1.0
15,Mongolia,0.0,0.0,1.0,1.0
15,West Germany,0.0,0.0,1.0,1.0
Total,Total,21.0,19.0,21.0,61.0
