Date,Opponent,Score,Loss,Attendance,Record
June 1,Twins,4-0,Bonser (1-1),12025.0,25-29
June 2,Twins,1-2,Saarloos (2-4),16138.0,25-30
June 3,Twins,2-1,Radke (4-7),23194.0,26-30
June 4,Twins,5-1,Silva (2-7),25247.0,27-30
June 6,@ Indians,7-6,Betancourt (0-1),17340.0,28-30
June 7,@ Indians,2-11,Blanton (5-6),20311.0,28-31
June 8,@ Indians,4-1,Johnson (3-6),21099.0,29-31
June 9,@ Yankees,6-5,Johnson (7-5),53837.0,30-31
June 10,@ Yankees,5-2,Mussina (8-2),53779.0,31-31
June 11,@ Yankees,6-5,Kyle Farnsworth (2-4),54570.0,32-31
June 13,Mariners,2-0,Moyer (3-6),15216.0,33-31
June 14,Mariners,7-2,Piñeiro (5-7),20550.0,34-31
June 15,Mariners,9-6,Washburn (4-8),16563.0,35-31
June 16,Dodgers,7-3,Tomko (5-6),30161.0,36-31
June 17,Dodgers,5-4 (17),Seo (2-4),35077.0,37-31
June 18,Dodgers,5-2,Sele (3-2),35077.0,38-31
June 19,@ Rockies,0-7,Haren (6-6),21964.0,38-32
June 20,@ Rockies,0-6,Loaiza (2-4),21753.0,38-33
June 21,@ Rockies,3-2 (11),King (1-3),26489.0,39-33
June 23,@ Giants,4-3,Benítez (4-1),42948.0,40-33
June 24,@ Giants,7-8,Street (1-3),42866.0,40-34
June 25,@ Giants,10-4,Cain (6-6),42414.0,41-34
June 27,@ Padres,0-3,Zito (8-4),34102.0,41-35
June 28,@ Padres,1-8,Blanton (7-7),39874.0,41-36
June 29,@ Padres,6-5 (14),Cassidy (4-4),30301.0,42-36
June 30,Diamondbacks,4-6,Halsey (3-3),16756.0,42-37
