Season,Series,Team,Races,Wins,Poles,F/Laps,Podiums,Points,Position
2005.0,Italian Formula Junior 1600 – Winter Series,Tomcat Racing,4.0,0.0,0.0,0.0,0.0,9.0,13th
2006.0,Italian Formula Junior 1600,Emmegi Promotion,12.0,0.0,0.0,0.0,1.0,50.0,12th
2006.0,Italian Formula Renault 2.0 – Winter Series,RP Motorsport,4.0,0.0,0.0,0.0,0.0,14.0,15th
2007.0,Italian Formula Renault 2.0,RP Motorsport,14.0,0.0,0.0,0.0,0.0,0.0,NC
2008.0,German Formula Three Championship,Ombra Racing,17.0,0.0,0.0,0.0,1.0,23.0,9th
2008.0,British Formula Three Championship,Ombra Racing,2.0,0.0,0.0,0.0,0.0,0.0,NC†
2009.0,Formula Renault 3.5 Series,Pons Racing,17.0,0.0,0.0,0.0,0.0,8.0,21st
2010.0,Formula Renault 3.5 Series,Pons Racing,17.0,0.0,0.0,0.0,0.0,16.0,17th
2010.0,Auto GP,Trident Racing,4.0,0.0,0.0,0.0,0.0,6.0,16th
2010.0,Le Mans Series – LMP2,Racing Box,2.0,0.0,0.0,0.0,0.0,13.0,17th
2010.0,GP2 Series,Trident Racing,2.0,0.0,0.0,0.0,0.0,0.0,32nd
