Rank,Nation,Gold,Silver,Bronze,Total
1.0,Jersey,30.0,35.0,27.0,92.0
2.0,Faroe Islands,24.0,19.0,12.0,55.0
3.0,Guernsey,23.0,23.0,29.0,75.0
4.0,Gotland,23.0,21.0,10.0,54.0
5.0,Rhodes,22.0,14.0,16.0,52.0
6.0,Isle of Man,11.0,15.0,16.0,42.0
7.0,Minorca,11.0,9.0,10.0,30.0
8.0,Cayman Islands,11.0,7.0,5.0,23.0
9.0,Bermuda,8.0,13.0,19.0,40.0
10.0,Åland,7.0,8.0,10.0,25.0
11.0,Saaremaa,7.0,6.0,8.0,21.0
12.0,Isle of Wight,6.0,2.0,5.0,13.0
13.0,Prince Edward Island,4.0,5.0,7.0,16.0
14.0,Gibraltar,4.0,2.0,7.0,13.0
15.0,Ynys Môn/Anglesey,3.0,1.0,1.0,5.0
16.0,Shetland Islands,2.0,11.0,2.0,15.0
17.0,Greenland,1.0,2.0,0.0,3.0
18.0,Western Isles,1.0,1.0,4.0,6.0
19.0,Hitra,1.0,0.0,0.0,1.0
20.0,Sark,0.0,1.0,2.0,3.0
21.0,Orkney Islands,0.0,0.0,4.0,4.0
22.0,Alderney,0.0,0.0,0.0,0.0
22.0,Falkland Islands,0.0,0.0,0.0,0.0
22.0,Frøya,0.0,0.0,0.0,0.0
22.0,Saint Helena,0.0,0.0,0.0,0.0
