Date,Region,Label,Format,Catalog
1977.0,Australia,CBS,LP,SBP 234999
1977.0,Australia,CBS,2LP,SBP 241031
1977.0,Australia,CBS,CAS,PC 4999
1977.0,Australia,Rainbow,CAS,RSV-001
1977.0,Australia,Summit/Rainbow,CAS,SUL 3001
1980.0,Japan,Epic/Sony,LP,25•3P-238
1981.0,Australia,Harmony,LP,HC 15070
1981.0,Australia,Harmony,CAS,TCHC 15070
1981.0,Australia,Summit/Rainbow,CAS,SC 3036
1988.0,Australia,Columbia/ Sony,CD,463016 2
1988.0,Australia,CBS/Disctronics,CD,463016 2
1988.0,Australia,CBS,CAS,463016 4
1991.0,Japan,Epic/Sony,CD,ESCA 5390
1992.0,Australia,Rainbow,2CD,2RCD 111/112
1996.0,Korea,Columbia/Sony,CD,486553.2
1996.0,Korea,Columbia/Sony,CAS,486553.4
2002.0,Japan,Epic,CD,EICP 7033
