Draw,Televotes,Televote Points,Jury Points,Total,Final Points
1.0,"7,446",0,0,0,0
2.0,"9,457",0,0,0,0
3.0,"4,916",0,0,0,0
4.0,N/A,N/A,N/A,N/A,N/A
5.0,"3,752",0,0,0,0
6.0,"7,894",0,0,0,0
7.0,"58,151",10,12,22,10
8.0,"14,450",0,6,6,2
9.0,"15,918",1,5,6,3
10.0,"3,810",0,0,0,0
11.0,"39,145",6,8,14,8
12.0,"57,818",8,0,8,5
13.0,"6,131",0,0,0,0
14.0,"8,535",0,0,0,0
15.0,"24,244",3,7,10,7
16.0,"26,635",4,0,4,0
17.0,"7,930",0,2,2,0
18.0,"33,709",5,4,9,6
19.0,"20,698",2,3,5,1
20.0,"136,171",12,10,22,12
21.0,"8,229",0,1,1,0
22.0,"7,638",0,0,0,0
23.0,"12,854",0,0,0,0
24.0,"47,722",7,0,7,4
25.0,"3,672",0,0,0,0
