Crop (kilotonnes),New South Wales,Victoria,Queensland,Western Australia,South Australia,Tasmania,Total
Wheat,6714.0,2173.0,1301.0,6959.0,3382.0,23.0,20552.0
Barley,1070.0,1173.0,202.0,1511.0,2000.0,25.0,5981.0
Sorghum,739.0,3.0,1140.0,3.0,0.0,0.0,1885.0
seed Cotton,663.0,0.0,1140.0,3.0,0.0,0.0,1806.0
Canola,637.0,312.0,1.0,530.0,225.0,1.0,1706.0
s Oat,360.0,420.0,7.0,588.0,137.0,8.0,1520.0
s Lupin,140.0,30.0,0.0,1050.0,103.0,0.0,1323.0
Field s pea,20.0,166.0,0.0,47.0,190.0,1.0,424.0
Maize,190.0,8.0,171.0,6.0,0.0,0.0,375.0
s Chickpea,86.0,20.0,56.0,29.0,5.0,0.0,196.0
s Lentil,2.0,68.0,0.0,2.0,56.0,0.0,128.0
Broad beans,42.0,68.0,1.0,0.0,14.0,0.0,125.0
