Rank,Nation,Gold,Silver,Bronze,Total
1,Canada (CAN),11.0,5.0,2.0,18.0
2,Soviet Union (URS),7.0,1.0,1.0,9.0
3,United States (USA),3.0,10.0,2.0,15.0
4,Sweden (SWE),2.0,3.0,5.0,10.0
5,Czech Republic (CZE),1.0,0.0,1.0,2.0
5,Great Britain (GBR),1.0,0.0,1.0,2.0
7,Unified Team (EUN),1.0,0.0,0.0,1.0
8,Czechoslovakia (TCH),0.0,4.0,4.0,8.0
9,Finland (FIN),0.0,2.0,5.0,7.0
10,Russia (RUS),0.0,1.0,1.0,2.0
11,Switzerland (SUI),0.0,0.0,2.0,2.0
12,Germany (GER),0.0,0.0,1.0,1.0
13,West Germany (FRG),0.0,0.0,1.0,1.0
Total,Total,26.0,26.0,26.0,78.0
