Season,League,Won Promotion,Won Promotion Playoffs,Lost Promotion Playoffs
1987.0,Norra,Djurgårdens IF,N/A,N/A
1987.0,Södra,GAIS,N/A,N/A
1988.0,Norra,Örebro SK,N/A,N/A
1988.0,Södra,Halmstads BK,N/A,N/A
1989.0,Norra,Hammarby IF,N/A,N/A
1989.0,Södra,Östers IF,N/A,N/A
1990.0,Norra,N/A,GIF Sundsvall,N/A
1990.0,Södra,N/A,N/A,BK Häcken
1991.0,Norra,N/A,N/A,Kiruna FF
1991.0,Östra,N/A,N/A,Hammarby IF
1991.0,Västra,N/A,Västra Frölunda IF,N/A
1991.0,Södra,N/A,Trelleborgs FF,N/A
1992.0,Norra,N/A,N/A,IFK Sundsvall
1992.0,Östra,N/A,IK Brage,N/A
1992.0,Västra,N/A,BK Häcken,N/A
1992.0,Södra,N/A,Halmstads BK,N/A
1993.0,Norra,Hammarby IF,N/A,Vasalunds IF
1993.0,Södra,Landskrona BoIS,N/A,IFK Hässleholm
1994.0,Norra,Djurgårdens IF,N/A,Umeå FC
1994.0,Södra,Örgryte IS,N/A,Kalmar FF
1995.0,Norra,Umeå FC,N/A,Gefle IF
1995.0,Södra,IK Oddevold,N/A,GAIS
1996.0,Norra,Västerås SK,N/A,Hammarby IF
1996.0,Södra,IF Elfsborg,Ljungskile SK,N/A
1997.0,Norra,Hammarby IF,N/A,Djurgårdens IF
1997.0,Södra,Västra Frölunda IF,BK Häcken,N/A
1998.0,Norra,Djurgårdens IF,Umeå FC,N/A
1998.0,Södra,Kalmar FF,N/A,Landskrona BoIS
1999.0,Norra,GIF Sundsvall,N/A,Assyriska FF
