Municipality,Population,Inhabitants per km²,Area (in km²),Markatal,Island,Region
Tórshavnar kommuna,19.339,112.0,173.0,327.0,Streymoy,Tórshavn
Klaksvík,4.886,57.0,86.0,144.0,Streymoy,Klaksvík
Runavík,3.678,47.0,78.0,150.0,Eysturoy,Southern Eysturoy
Tvøroyri,1.819,42.0,43.0,60.0,Suðuroy,Suðuroy
Fuglafjørður,1.584,70.0,23.0,32.0,Eysturoy,Northern Eysturoy
Sunda Kommuna,1.564,10.0,158.0,152.0,Eysturoy,Northern Eysturoy
Vágur,1.402,67.0,21.0,61.0,Suðuroy,Suðuroy
Nes,1.238,88.0,14.0,40.0,Eysturoy,Southern Eysturoy
Vestmanna,1.234,24.0,52.0,56.0,Streymoy,Streymoy
Miðvágur,1.100,24.0,47.0,48.0,Vágar,Vágar
Sørvágur,1.071,13.0,84.0,124.0,Vágar,Vágar
Gøtu Kommuna,1.066,35.0,31.0,69.0,Eysturoy,Southern Eysturoy
Sjóvar Kommuna,1.027,31.0,33.0,70.0,Eysturoy,Southern Eysturoy
Leirvík,873,79.0,11.0,33.0,Eysturoy,Southern Eysturoy
Sandavágur,797,13.0,61.0,48.0,Vágar,Vágar
Hvalba,765,19.0,40.0,99.0,Suðuroy,Suðuroy
Eiði,705,19.0,37.0,49.0,Eysturoy,Northern Eysturoy
Kvívík,615,13.0,49.0,75.0,Streymoy,Streymoy
Sandur,586,12.0,48.0,97.0,Sandoy,Sandoy
Skopun,507,56.0,9.0,0.0,Sandoy,Sandoy
Hvannasund,441,13.0,33.0,38.0,Viðoy and Borðoy,Klaksvík
Sumba,383,15.0,25.0,64.0,Suðuroy,Suðuroy
Viðareiði,339,11.0,30.0,48.0,Viðoy,Norðoyggjar
Porkeri,333,24.0,14.0,37.0,Suðuroy,Suðuroy
Skálavík,183,6.0,29.0,24.0,Sandoy,Sandoy
Kunoy,157,4.0,35.0,65.0,Kunoy,Norðoyggjar
Húsavík,131,5.0,26.0,66.0,Sandoy,Sandoy
Hov,125,12.0,10.0,24.0,Suðuroy,Suðuroy
Fámjin,113,9.0,13.0,24.0,Suðuroy,Suðuroy
Funningur,75,4.0,18.0,15.0,Eysturoy,Northern Eysturoy
Húsar,61,4.0,16.0,41.0,Kalsoy,Norðoyggjar
Skúvoy,57,4.0,13.0,73.0,Skúvoy,Sandoy
Svínoy,52,2.0,27.0,23.0,Svínoy,Norðoyggjar
