Driver,Team,Laps,Time/Retired,Grid,Points
Paul Tracy,Forsythe Racing,81.0,1:44:12.348,3.0,32.0
Bruno Junqueira,Newman/Haas Racing,81.0,+5.681 secs,1.0,29.0
Sébastien Bourdais,Newman/Haas Racing,81.0,+6.375 secs,2.0,27.0
Patrick Carpentier,Forsythe Racing,81.0,+16.801 secs,7.0,24.0
Mario Domínguez,Herdez Competition,81.0,+17.527 secs,5.0,21.0
Justin Wilson,Mi-Jack Conquest Racing,81.0,+36.645 secs,11.0,20.0
Ryan Hunter-Reay,Herdez Competition,81.0,+38.926 secs,6.0,17.0
Alex Tagliani,Rocketsports Racing,81.0,+1:00.578,4.0,15.0
Mario Haberfeld,Walker Racing,80.0,+ 1 Lap,14.0,13.0
Rodolfo Lavín,Forsythe Racing,80.0,+ 1 Lap,9.0,11.0
"Michel Jourdain, Jr.",RuSPORT,80.0,+ 1 Lap,13.0,10.0
A. J. Allmendinger,RuSPORT,79.0,+ 2 Laps,8.0,9.0
Nelson Philippe,Rocketsports Racing,78.0,+ 3 Laps,16.0,8.0
Roberto González,PKV Racing,76.0,Gearbox,17.0,7.0
Oriol Servià,Dale Coyne Racing,14.0,Oil Leak,12.0,6.0
Jimmy Vasser,PKV Racing,1.0,Contact,10.0,5.0
Alex Sperafico,Mi-Jack Conquest Racing,1.0,Contact,15.0,4.0
Tarso Marques,Dale Coyne Racing,1.0,Contact,18.0,3.0
