Year,Entrant,Chassis,Engine,Pts.
1950.0,Horschell Racing Corporation,Cooper T12,JAP V-twin,0.0
1950.0,Ecurie Bleue,Talbot-Lago T26C,Talbot L6,0.0
1951.0,Enrico Platé,Maserati 4CLT/48,Maserati L4 C,0.0
1952.0,Enrico Platé,Maserati 4CLT/50,Platé L4,0.0
1953.0,Equipe Gordini,Gordini T16,Gordini L6,0.0
1954.0,Harry Schell,Maserati A6GCM,Maserati L6,0.0
1954.0,Harry Schell,Maserati 250F,Maserati L6,0.0
1954.0,Officine Alfieri Maserati,Maserati 250F,Maserati L6,0.0
1955.0,Officine Alfieri Maserati,Maserati 250F,Maserati L6,0.0
1955.0,Scuderia Ferrari,Ferrari 555,Ferrari L4,0.0
1955.0,Vandervell Products Ltd.,Vanwall,Vanwall L4,0.0
1956.0,Vandervell Products Ltd.,Vanwall,Vanwall L4,3.0
1956.0,Scuderia Centro Sud,Maserati 250F,Maserati L6,3.0
1957.0,Scuderia Centro Sud,Maserati 250F,Maserati L6,10.0
1957.0,Officine Alfieri Maserati,Maserati 250F,Maserati L6,10.0
1958.0,Joakim Bonnier Racing Team,Maserati 250F,Maserati L6,14.0
1958.0,Owen Racing Organisation,BRM P25,BRM L4,14.0
1959.0,Owen Racing Organisation,BRM P25,BRM L4,5.0
1959.0,Ecurie Bleue,Cooper T51,Climax L4,5.0
1960.0,Ecurie Bleue,Cooper T51,Climax L4,0.0
