Position,Top MC,Year inducted,Appearances,Peak ranking
1.0,Kanye West,2007.0,6.0,1.0
1.0,Lil Wayne,2007.0,5.0,1.0
1.0,Jay-Z,2007.0,5.0,1.0
1.0,Rick Ross,2008.0,5.0,1.0
1.0,Kendrick Lamar,2012.0,1.0,1.0
1.0,Eminem,2010.0,1.0,1.0
7.0,Drake,2009.0,4.0,2.0
7.0,T.I.,2007.0,2.0,2.0
7.0,2 Chainz,2012.0,1.0,2.0
10.0,Game,2007.0,1.0,3.0
11.0,André 3000,2007.0,2.0,4.0
11.0,Nicki Minaj,2010.0,2.0,4.0
11.0,Nas,2012.0,1.0,4.0
14.0,Snoop Dogg,2008.0,1.0,5.0
15.0,Young Jeezy,2007.0,3.0,6.0
15.0,50 Cent,2007.0,3.0,6.0
15.0,Gucci Mane,2009.0,1.0,6.0
15.0,Big Sean,2011.0,2.0,6.0
19.0,Meek Mill,2011.0,2.0,7.0
19.0,Lupe Fiasco,2008.0,1.0,7.0
21.0,Fabolous,2009.0,1.0,8.0
21.0,Waka Flocka Flame,2010.0,1.0,8.0
21.0,ASAP Rocky,2012.0,1.0,8.0
24.0,Common,2007.0,1.0,9.0
24.0,B.o.B,2010.0,1.0,9.0
24.0,Wiz Khalifa,2011.0,1.0,9.0
24.0,Future,2012.0,1.0,9.0
28.0,Jim Jones,2007.0,1.0,10.0
28.0,Raekwon,2009.0,1.0,10.0
28.0,Ludacris,2010.0,1.0,10.0
