Week,Date,Opponent,Result,Game site,Attendance
1.0,"Sept. 12, 1976",Cleveland Browns,L 38–17,Cleveland Stadium,67496.0
2.0,"Sept. 19, 1976",Denver Broncos,L 46–3,Mile High Stadium,62669.0
3.0,"Sept. 29, 1976",Miami Dolphins,L 16–0,Miami Orange Bowl,49754.0
4.0,"Oct. 3, 1976",San Francisco 49ers,L 17–6,Candlestick Park,42961.0
5.0,"Oct. 10, 1976",Buffalo Bills,W 17–14,Shea Stadium,59110.0
6.0,"Oct. 18, 1976",New England Patriots,L 41–7,Schafer Stadium,50883.0
7.0,"Oct. 24, 1976",Baltimore Colts,L 20–0,Shea Stadium,59576.0
8.0,"Oct. 31, 1976",Buffalo Bills,W 19–14,Rich Stadium,41285.0
9.0,"Nov. 7, 1976",Miami Dolphins,L 27–7,Shea Stadium,53344.0
10.0,"Nov. 14, 1976",Tampa Bay Buccaneers,W 34–0,Shea Stadium,46426.0
11.0,"Nov. 21, 1976",New England Patriots,L 38–24,Shea Stadium,49983.0
12.0,"Nov. 28, 1976",Baltimore Colts,L 33–16,Memorial Stadium,44023.0
13.0,"Dec. 5, 1976",Washington Redskins,L 37–16,Shea Stadium,46638.0
14.0,"Dec. 12, 1976",Cincinnati Bengals,L 42–3,Shea Stadium,31067.0
