Name,Years,Gender,Area,Authority,Decile,Roll
Christ The King School,1–8,Coed,Mount Roskill,State,3.0,152.0
Dominion Road School,1–6,Coed,Mount Roskill,State,3.0,296.0
Halsey Drive School,1–6,Coed,Lynfield,State,9.0,451.0
Hay Park School,1–6,Coed,Mount Roskill,State,2.0,166.0
Hillsborough School,1–6,Coed,Hillsborough,State,9.0,396.0
Marshall Laing School,1–6,Coed,Mount Roskill,State,6.0,513.0
May Road School,1–6,Coed,Mount Roskill,State,2.0,230.0
Monte Cecilia School,1–8,Coed,Mount Roskill,State,6.0,170.0
Mount Roskill Intermediate,7–8,Coed,Mount Roskill,State,4.0,607.0
Mount Roskill Primary School,1–6,Coed,Mount Roskill,State,4.0,750.0
Royal Oak School,1–6,Coed,Royal Oak,State,8.0,637.0
St Therese School,1–8,Coed,Three Kings,State,2.0,124.0
Three Kings School,1–6,Coed,Mount Roskill,State,7.0,543.0
Waikowhai Intermediate School,7–8,Coed,Mount Roskill,State,6.0,393.0
Waikowhai School,1–6,Coed,Mount Roskill,State,3.0,200.0
Wesley Intermediate,7–8,Coed,Mount Roskill,State,1.0,124.0
Wesley School,1–6,Coed,Mount Roskill,State,1.0,156.0
