Coach,Years coached,Seasons,Wins,Losses,Percentage,Conference titles,NCAA
Luther Burleson,1907–1908,2.0,10.0,9.0,0.526,—,—
Enoch Mills,1909–1910,2.0,19.0,10.0,0.655,—,—
Ralph Gaze,1911–1914,3.0,26.0,7.0,0.788,—,—
Norman Paine,1914,1.0,1.0,8.0,0.111,—,—
Charles Moseley,1915–1920,6.0,28.0,65.0,0.301,0,—
Frank Bridges,1921–1926,6.0,51.0,78.0,0.395,0,—
Ralph Wolf,1927–1941,15.0,148.0,129.0,0.534,1,0
Bill Henderson,1942–1943 and 1945–1961,19.0,201.0,233.0,0.463,4,3
Van Sweet,1944–1945,2.0,6.0,27.0,0.182,0,0
Bill Menefee,1962–1973,12.0,149.0,144.0,0.509,0,0
Carroll Dawson,1973–1976,4.0,42.0,51.0,0.452,0,0
Jim Haller,1976–1985,9.0,104.0,130.0,0.444,0,0
Gene Iba,1985–1992,7.0,98.0,106.0,0.48,0,1
Darrell Johnson,1992–1994,2.0,32.0,22.0,0.596,0,0
Harry Miller,1994–1999,5.0,56.0,87.0,0.392,0,0
Dave Bliss,1999–2003,4.0,61.0,57.0,0.517,0,0
Scott Drew,2003–2012,10.0,180.0,138.0,0.566,0,3
