Game,January,Opponent,Score,Record
39.0,3.0,Florida Panthers,3 - 2,27-9-3
40.0,5.0,Calgary Flames,4 - 1,27-10-3
41.0,8.0,@ Montreal Canadiens,3 - 2,27-11-3
42.0,10.0,Tampa Bay Lightning,5 - 2,27-12-3
43.0,14.0,Philadelphia Flyers,5 - 2,28-12-3
44.0,16.0,@ Chicago Blackhawks,5 - 1,29-12-3
45.0,18.0,St. Louis Blues,4 - 1,30-12-3
46.0,25.0,@ San Jose Sharks,8 - 3,31-12-3
47.0,27.0,@ Los Angeles Kings,5 - 4,32-12-3
48.0,28.0,@ Mighty Ducks of Anaheim,3 - 2,32-13-3
49.0,31.0,Pittsburgh Penguins,5 - 3,33-13-3
