Week,Date,Opponent,Result,Record,Game Site,Attendance
1.0,"September 2, 1979",at Kansas City Chiefs,L 0–14,0–1,Arrowhead Stadium,50442.0
2.0,"September 9, 1979",Tampa Bay Buccaneers,L 26–29,0–2,Memorial Stadium,36374.0
3.0,"September 16, 1979",at Cleveland Browns,L 10–13,0–3,Cleveland Stadium,72070.0
4.0,"September 23, 1979",at Pittsburgh Steelers,L 13–17,0–4,Three Rivers Stadium,49483.0
5.0,"September 30, 1979",Buffalo Bills,L 13–31,0–5,Memorial Stadium,31904.0
6.0,"October 7, 1979",New York Jets,W 10–8,1–5,Memorial Stadium,32142.0
7.0,"October 14, 1979",Houston Oilers,L 16–28,1–6,Memorial Stadium,45021.0
8.0,"October 21, 1979",at Buffalo Bills,W 14–13,2–6,Rich Stadium,50581.0
9.0,"October 28, 1979",New England Patriots,W 31–26,3–6,Memorial Stadium,41029.0
10.0,"November 4, 1979",Cincinnati Bengals,W 38–28,4–6,Memorial Stadium,37740.0
11.0,"November 11, 1979",at Miami Dolphins,L 0–19,4–7,Miami Orange Bowl,50193.0
12.0,"November 18, 1979",at New England Patriots,L 21–50,4–8,Schaeffer Stadium,60879.0
13.0,"November 25, 1979",Miami Dolphins,L 24–28,4–9,Memorial Stadium,38016.0
14.0,"December 2, 1979",at New York Jets,L 17–30,4–10,Shea Stadium,47744.0
15.0,"December 9, 1979",Kansas City Chiefs,L 7–10,4–11,Memorial Stadium,25684.0
16.0,"December 16, 1979",at New York Giants,W 31–7,5–11,Giants Stadium,58711.0
