Name,Years,Gender,Area,Authority,Decile,Roll
Coley Street School,1–8,Coed,Foxton,State,2.0,253.0
Fairfield School,1–8,Coed,Levin,State,4.0,418.0
Foxton Beach School,1–8,Coed,Foxton Beach,State,3.0,107.0
Foxton School,1–8,Coed,Foxton,State,2.0,90.0
Horowhenua College,9–13,Coed,Levin,State,3.0,701.0
Koputaroa School,1–8,Coed,Levin,State,6.0,179.0
Levin East School,1–6,Coed,Levin,State,2.0,445.0
Levin Intermediate,7–8,Coed,Levin,State,2.0,285.0
Levin North School,1–6,Coed,Levin,State,3.0,314.0
Levin School,1–6,Coed,Levin,State,1.0,118.0
Manakau School,1–6,Coed,Manakau,State,5.0,68.0
Manawatu College,9–13,Coed,Foxton,State,2.0,338.0
Ohau School,1–8,Coed,Levin,State,6.0,226.0
Opiki School,1–8,Coed,Opiki,State,6.0,114.0
Poroutawhao School,1–8,Coed,Levin,State,5.0,120.0
Shannon School,1–8,Coed,Shannon,State,1.0,146.0
St Joseph's School,1–8,Coed,Levin,State integrated,2.0,166.0
St Mary's School,1–8,Coed,Foxton,State integrated,3.0,36.0
Taitoko School,1–8,Coed,Levin,State,1.0,141.0
Tokomaru School,1–8,Coed,Tokomaru,State,7.0,66.0
Waiopehu College,9–13,Coed,Levin,State,2.0,607.0
