Place,Team,Played,Draw,Lost,Goals Scored,Goals Conceded,Points
1.0,C.D. Águila,18.0,4.0,4.0,39.0,19.0,34.0
2.0,A.D. Isidro Metapán,18.0,7.0,3.0,32.0,21.0,31.0
3.0,C.D. FAS,18.0,6.0,4.0,27.0,22.0,30.0
4.0,C.D. Chalatenango,18.0,7.0,4.0,25.0,24.0,28.0
5.0,C.D. Vista Hermosa,18.0,6.0,5.0,20.0,16.0,27.0
6.0,C.D. Luis Ángel Firpo,18.0,7.0,6.0,20.0,18.0,22.0
7.0,C.D. Atlético Balboa,18.0,8.0,6.0,23.0,29.0,20.0
8.0,Juventud Independiente,18.0,7.0,7.0,21.0,35.0,19.0
9.0,Alianza F.C.,18.0,5.0,9.0,19.0,25.0,17.0
10.0,Nejapa F.C.,18.0,5.0,11.0,16.0,34.0,11.0
