Year,Movie title,Role,Direction,Screenplay
1999.0,Pallavur Devanarayanan,Pallavur Devanarayana Pothuval,V. M. Vinu,Gireesh Puthenchery
1999.0,Prem Poojari,Cameo,Hariharan,Dr. Balakrishnan
1999.0,Ezhupunna Tharakan,Sunny Tharakan,P. G. Viswambaran,Kaloor Dennis
1999.0,Thachiledathu Chundan,Kochu Kunju,Shajoon Karyal,Babu Janardanan
1999.0,Megham,Col. Ravivarma Thampuran,Priyadarshan,T. Damodaran
1999.0,Stalin Sivadas,Sivadas,T. S. Suresh Babu,T Damodaran
1999.0,The Godman,Amarnath,K. Madhu,Suresh Pathissery
1998.0,Elavamkodu Desam,Jathavethan,K. G. George,K. G. George
1998.0,Harikrishnans,Hari,Fazil,Fazil
1998.0,Sidhartha,Sidhartha,Joemon,Satyanath
1998.0,Oru Maravathoor Kanavu,Chandy,Lal Jose,Sreenivasan
1998.0,The Truth,Bharath Patteri,Shaji Kailas,S. N. Swamy
1997.0,Bhoothakkannadi,Vidyadharan,Lohithadas,Lohithadas
1997.0,Kaliyoonjal,Nandagopalan,Anil-Babu,Sathrughnan
1997.0,Oral Mathram,Hareendran,Sathyan Anthikkad,S. N. Swamy
1996.0,Udhyanapalakan,Sudhakaran Nair,Harikumar,Lohithadas
1996.0,Indraprastham,Sathish Menon,Haridas,Robin Thirumala
1996.0,Aayiram Naavulla Ananthan,Dr. Anantha Padmanabhan,Thulasidas,S N Swamy
1996.0,Hitler,Madhavan Kutty,Siddique,Siddique
1996.0,Azhakiya Ravanan,Sanker Das,Kamal,Sreenivasan
1995.0,The King,Thevalliparambil Joseph Alex,Shaji Kailas,Ranji Panikkar
1995.0,Ormakal Undayirikkanam,Bhasi,T. V. Chandran,T. V. Chandran
1995.0,No. 1 Snehatheeram Banglore North,Vijaya Bhasker,Sathyan Anthikkad,Fazil
1995.0,Oru Abhibhashakante Case Diary,Aniyan Kuruvilla,K. Madhu,S. N. Swamy
1995.0,Mazhayethum Munpe,Nandakumar Varma,Kamal,Sreenivasan
1994.0,Sukrutham,Ravishankar,Hari Kumar,M. T. Vasudevan Nair
1994.0,Sainyam,Captain Eswar,Joshy,S. N. Swamy
1994.0,Sagaram Sakshi,Gopi,Sibi Malayil,Lohithadas
1994.0,Vishnu,Vishnu,P. Sreekumar,Venu Nagavalli
1994.0,Ponthan Mada,Mada,T. V. Chandran,T. V. Chandran
1994.0,Vidheyan,Bhaskar Patelar,Adoor Gopalakrishnan,Adoor Gopalakrishnan
1993.0,Golanthara Vartha,Ramesan Nair,Sathyan Anthikkad,Sreenivasan
1993.0,Padheyam,Chandradas,Bharathan,Lohithadas
1993.0,Sarovaram,Devadathan,Jeassy,Dennis Joseph
1993.0,Palayam,Christi,T. S. Suresh Babu,Dennis Joseph
1993.0,Jackpot,Gautham Krishna,Joemon,T Damodaran
1993.0,Valtsalyam,Meledathu Raghvan Nair,Cochin Haneefa,Lohithadas
1993.0,Aayirappara,Shouwri,Venu Nagavalli,Venu Nagavalli
1993.0,Dhruvam,Narasimha Mannadiyar,Joshy,S. N. Swamy
1992.0,Pappayude Swantham Appoos,Balachandran,Fazil,Fazil
1992.0,Kizhakkan Pathrose,Pathrose,T. S. Suresh Babu,Dennis Joseph
1992.0,Mahanagaram,Chanthakkadu Viswan,T. K. Rajeev Kumar,Dennis Joseph
1992.0,Johnnie Walker,John Varghese,Jayaraaj,Ranjith
1992.0,Soorya Manasam,Putturumees,Viji Thampi,Sab John
1992.0,Kauravar,Antony,Joshy,Lohithadas
1991.0,Neelagiri,Sivan,I. V. Sasi,Ranjith
1991.0,Anaswaram,Daniel D'Souza,Joemon,T A Razzak
1991.0,Kanalkkattu,Nathu Narayanan,Sathyan Anthikkad,Lohithadas
1991.0,Adayalam,Hariharan,K. Madhu,S. N. Swamy
1991.0,Inspector Balram,Inspector Balram,I. V. Sasi,T. Damodaran
1991.0,Nayam Vyakthamakkunnu,Sukumaran,Balachandra Menon,Balachandra Menon
1991.0,Amaram,Achootty,Bharathan,Lohithadas
1990.0,Parampara,Lawrence/Johny (double role),Sibi Malayil,S. N. Swamy
1990.0,No.20 Madras Mail,Mammootty,Joshy,Dennis Joseph
1990.0,Ee Thanutha Veluppan Kalathu,Haridas Damodaran,Joshy,P. Padmarajan
1990.0,Kuttettan,Vishnu,Joshy,Lohithadas
1990.0,Iyer the Great,Soorya Narayana Iyer,Bhadran,Malayatoor Ramakrishnan
1990.0,Oliyampukal,Arackal Baby Mathew,Hariharan,Dennis Joseph
1990.0,Kalikkalam,Thief,Sathyan Anthikkad,S. N. Swamy
1990.0,Samrajyam,Alexander,Joemon,Shibu Chakravarthy
1990.0,Mathilukal,Vaikom Basheer,Adoor Gopalakrishnan,Adoor Gopalakrishnan
1990.0,Midhya,Venugopal,I. V. Sasi,M. T. Vasudevan Nair
1990.0,Kottayam Kunjachan,Kunjachan,T. S. Suresh Babu,Dennis Joseph
1990.0,Purappadu,Viswanathan,Jeassy,John Paul
