Position,Team,Played,Wins,Draws,Losses,Scored,Conceded,Points
1.0,Olimpia,10.0,8.0,2.0,0.0,26.0,8.0,26.0
2.0,Sportivo Luqueño,10.0,6.0,3.0,1.0,22.0,13.0,21.0
3.0,Cerro Porteño,10.0,5.0,4.0,1.0,21.0,12.0,19.0
4.0,Guaraní,10.0,4.0,4.0,2.0,16.0,12.0,16.0
5.0,Sol de América,10.0,4.0,3.0,3.0,13.0,9.0,15.0
6.0,San Lorenzo,10.0,3.0,4.0,3.0,15.0,14.0,13.0
7.0,Atl. Colegiales,10.0,4.0,1.0,5.0,16.0,19.0,13.0
8.0,12 de Octubre,10.0,2.0,5.0,3.0,11.0,12.0,11.0
9.0,Cerro Corá,10.0,2.0,3.0,5.0,17.0,23.0,9.0
10.0,Presidente Hayes,10.0,0.0,4.0,6.0,10.0,22.0,4.0
