Round,Pick #,Overall,Name,Position,College
1.0,13.0,13.0,Chris Miller,Quarterback,Oregon
2.0,3.0,31.0,Kenny Flowers,Running Back,Clemson
4.0,13.0,97.0,Ralph Van Dyke,Offensive Tackle,Southern Illinois
5.0,13.0,125.0,Mark Mraz,Defensive End,Utah State
6.0,13.0,153.0,Paul Kiser,Guard,Wake Forest
7.0,13.0,181.0,Michael Reid,Linebacker,Wisconsin
8.0,13.0,208.0,Curtis Taliaferro,Linebacker,Virginia Tech
9.0,13.0,236.0,Terrance Anthony,Defensive Back,Iowa State
10.0,13.0,264.0,Jerry Reese,Tight End,Illinois
11.0,13.0,292.0,Elbert Shelley,Defensive Back,Arkansas State
12.0,13.0,320.0,Larry Emery,Running Back,Wisconsin
