Grid,Constructor,Qual,Rank,Laps,Time/Retired
2.0,Kurtis Kraft - Offenhauser,135.03,5.0,200.0,3:57:38.05
7.0,Kurtis Kraft - Offenhauser,132.18,26.0,200.0,+ 1:47.24
3.0,Kurtis Kraft - Offenhauser,134.3,8.0,200.0,+ 2:51.39
31.0,Sherman - Offenhauser,132.22,25.0,200.0,+ 4:40.12
29.0,Schroeder - Offenhauser,134.09,9.0,200.0,+ 4:52.23
17.0,Moore - Offenhauser,133.89,12.0,200.0,+ 5:40.02
24.0,Kurtis Kraft - Offenhauser,132.89,22.0,193.0,+ 7 Laps
4.0,Deidt - Offenhauser,133.74,15.0,180.0,+ 20 Laps
9.0,Deidt - Offenhauser,131.95,29.0,178.0,Spun Off
1.0,Kurtis Kraft - Novi,136.49,2.0,151.0,Retirement
22.0,Kurtis Kraft - Offenhauser,133.1,20.0,142.0,Engine
12.0,Kurtis Kraft - Offenhauser,132.99,21.0,135.0,Engine
16.0,Kurtis Kraft - Offenhauser,134.03,11.0,129.0,Engine
5.0,Deidt - Offenhauser,133.42,18.0,126.0,Accident
14.0,Kuzma - Offenhauser,136.87,1.0,123.0,Engine
27.0,Pawl - Offenhauser,133.51,17.0,110.0,Axle
11.0,Kurtis Kraft - Offenhauser,135.02,6.0,109.0,Clutch
15.0,Kurtis Kraft - Offenhauser,135.61,4.0,93.0,Fire
33.0,Hall - Offenhauser,131.47,32.0,97.0,Clutch
19.0,Marchese - Offenhauser,133.76,14.0,93.0,Fire
8.0,Kurtis Kraft - Offenhauser,132.15,27.0,87.0,Magneto
10.0,Kurtis Kraft - Offenhauser,131.89,31.0,80.0,Engine
6.0,Kurtis Kraft - Offenhauser,132.31,24.0,78.0,Engine
32.0,Schroeder - Offenhauser,131.97,28.0,73.0,Overheating
28.0,Kurtis Kraft - Novi,135.79,3.0,56.0,Ignition
13.0,Kurtis Kraft - Offenhauser,131.9,30.0,55.0,Magneto
25.0,Bromme - Offenhauser,134.86,7.0,34.0,Oil Pipe
18.0,Kurtis Kraft - Offenhauser,133.83,13.0,30.0,Axle
20.0,Trevis - Offenhauser,133.72,16.0,29.0,Oil leak
21.0,Lesovsky - Offenhauser,133.35,19.0,29.0,Transmission
23.0,Deidt - Offenhauser,123.92,33.0,18.0,Engine
26.0,Maserati - Offenhauser,132.47,23.0,15.0,Fuel leak
30.0,Watson - Offenhauser,134.09,10.0,8.0,Transmission
