Governorate,Name in Russian,Name in Polish,Seat,"Area, in thousands of km 2","Population, in thousands,( 1905 )"
Warsaw Governorate,Варшавская губерния,Gubernia warszawska,Warszawa,17.6,2233.0
Kalisz Governorate,Калишская губерния,Gubernia kaliska,Kalisz,11.3,964.0
Kielce Governorate,Келецкая губерния,Gubernia kielecka,Kielce,10.2,899.0
Łomża Governorate,Ломжинская губерния,Gubernia lubelska,Łomża,10.6,645.0
Lublin Governorate,Люблинская губерния,Gubernia łomżyńska,Lublin,16.9,1341.0
Piotrków Governorate,Петроковская губерния,Gubernia piotrkowska,Piotrków,12.2,1640.0
Płock Governorate,Плоцкая губерния,Gubernia płocka,Płock,9.4,613.0
Radom Governorate,Радомская губерния,Gubernia radomska,Radom,12.4,917.0
Siedlce Governorate,Седлецкая губерния,Gubernia siedlecka,Siedlce,14.3,894.0
Suwalki Governorate,Сувалкская губерния,Gubernia suwalska,Suwałki,12.4,629.0
