Rank,Name,Team,Goals,Appearances,Minutes played
1.0,Lionel Messi,Barcelona,12.0,13.0,"1098' 40"""
2.0,Mario Gómez,Bayern Munich,8.0,8.0,"0 634' 19"""
2.0,Samuel Eto'o,Internazionale,8.0,10.0,"0 937' 52"""
4.0,Nicolas Anelka,Chelsea,7.0,9.0,"0 600' 58"""
5.0,Karim Benzema,Real Madrid,6.0,8.0,"0 398' 12"""
5.0,Roberto Soldado,Valencia,6.0,7.0,"0 438' 06"""
5.0,Cristiano Ronaldo,Real Madrid,6.0,12.0,"1067' 14"""
8.0,Pedro Rodríguez,Barcelona,5.0,12.0,"0 812' 54"""
8.0,Raúl,Schalke 04,5.0,12.0,"1130' 30"""
10.0,Eduardo,Shakhtar Donetsk,4.0,8.0,"0 279' 48"""
10.0,Marco Borriello,Roma,4.0,8.0,"0 554' 09"""
10.0,Javier Hernández,Manchester United,4.0,9.0,"0 582' 37"""
10.0,Peter Crouch,Tottenham Hotspur,4.0,9.0,"0 604' 20"""
10.0,Zlatan Ibrahimović,Milan,4.0,8.0,"0 689' 18"""
10.0,Gareth Bale,Tottenham Hotspur,4.0,9.0,"0 770' 46"""
10.0,Luiz Adriano,Shakhtar Donetsk,4.0,10.0,"0 833' 10"""
10.0,Wayne Rooney,Manchester United,4.0,9.0,"0 839' 07"""
10.0,Jefferson Farfán,Schalke 04,4.0,10.0,"0 847' 00"""
10.0,David Villa,Barcelona,4.0,12.0,"0 954' 46"""
