Year,Starts,Wins,Top 5,Top 10,Poles,Avg. Start,Avg. Finish,Winnings,Position,Team(s)
1982.0,29.0,1.0,5.0,18.0,2.0,5.1,12.1,"$62,839",5th,#28 Johnny Hayes Racing
1983.0,22.0,0.0,4.0,12.0,4.0,7.2,11.3,"$40,976",15th,#28 Johnny Hayes Racing
1984.0,5.0,0.0,2.0,3.0,0.0,5.4,13.6,"$25,880",35th,#28 Johnny Hayes Racing
1985.0,2.0,0.0,0.0,0.0,0.0,10.5,33.5,"$2,428",95th,#28 Johnny Hayes Racing
1986.0,1.0,0.0,0.0,0.0,0.0,11.0,16.0,$270,119th,#11 Ingram Racing
1989.0,10.0,0.0,4.0,5.0,0.0,16.0,14.9,"$30,320",33rd,#55 Beverley Racing
1991.0,6.0,0.0,1.0,2.0,0.0,23.8,21.3,"$15,650",46th,#29 Phil Parsons Racing
1992.0,7.0,0.0,0.0,5.0,0.0,12.6,14.9,"$25,789",45th,#29 Phil Parsons Racing
1993.0,9.0,0.0,1.0,3.0,0.0,22.1,24.8,"$33,378",43rd,#29 Phil Parsons Racing #18 Three Star Motorsports
1995.0,26.0,0.0,3.0,9.0,0.0,19.7,16.7,"$177,358",8th,#99 Papke Racing
1996.0,26.0,0.0,5.0,6.0,0.0,23.7,18.5,"$215,023",9th,#10 Phil Parsons Racing
1997.0,30.0,0.0,5.0,12.0,0.0,19.0,15.9,"$411,026",6th,#10 Phil Parsons Racing
1998.0,31.0,0.0,5.0,9.0,0.0,21.9,17.4,"$550,352",6th,#10 Phil Parsons Racing
1999.0,31.0,0.0,1.0,6.0,0.0,27.2,22.9,"$499,790",15th,#10 Phil Parsons Racing
2000.0,32.0,0.0,1.0,2.0,0.0,30.9,21.4,"$571,425",12th,#59 ST Motorsports
