Rank,Nation,Gold,Silver,Bronze,Total
1.0,United States,26.0,21.0,24.0,71.0
2.0,Norway,10.0,1.0,2.0,13.0
3.0,East Germany,9.0,8.0,2.0,19.0
4.0,Austria,7.0,17.0,12.0,36.0
5.0,Japan,7.0,3.0,6.0,16.0
6.0,Hungary,7.0,1.0,3.0,11.0
7.0,Great Britain,6.0,9.0,7.0,22.0
8.0,Canada,4.0,5.0,4.0,13.0
9.0,Netherlands,4.0,1.0,3.0,8.0
10.0,Russia,3.0,5.0,4.0,12.0
11.0,South Korea,2.0,2.0,2.0,6.0
12.0,Czechoslovakia,2.0,0.0,3.0,5.0
13.0,Germany,1.0,8.0,4.0,13.0
14.0,France,1.0,4.0,2.0,7.0
15.0,Italy,1.0,2.0,3.0,6.0
16.0,China,1.0,1.0,2.0,4.0
17.0,Switzerland,1.0,0.0,0.0,1.0
17.0,Ukraine,1.0,0.0,0.0,1.0
19.0,Sweden,0.0,2.0,5.0,7.0
20.0,Soviet Union,0.0,2.0,1.0,3.0
21.0,Finland,0.0,0.0,1.0,1.0
