Seed,Rank,Player,Points,Points defending,Points won,New points,Status
2.0,2.0,Roger Federer,7215.0,1200.0,720.0,6735.0,Semifinals lost to Novak Djokovic [3]
4.0,4.0,Andy Murray,5125.0,180.0,90.0,5035.0,3rd round lost to Stanislas Wawrinka [25]
5.0,5.0,Robin Söderling,4910.0,360.0,360.0,4910.0,Quarterfinals lost to Roger Federer [2]
6.0,6.0,Nikolay Davydenko,4285.0,180.0,45.0,4150.0,2nd round lost to Richard Gasquet
7.0,7.0,Tomáš Berdych,3860.0,90.0,10.0,3780.0,1st round lost to Michaël Llodra
8.0,8.0,Fernando Verdasco,3330.0,360.0,360.0,3330.0,Quarterfinals lost to Rafael Nadal [1]
9.0,9.0,Andy Roddick,3225.0,90.0,45.0,3180.0,2nd round lost to Janko Tipsarević
10.0,12.0,David Ferrer,3065.0,45.0,180.0,3200.0,4th round lost to Fernando Verdasco [8]
11.0,13.0,Marin Čilić,2855.0,360.0,45.0,2540.0,2nd round lost to Kei Nishikori [Q]
12.0,14.0,Mikhail Youzhny,2620.0,45.0,720.0,3295.0,Semifinals lost to Rafael Nadal [1]
13.0,15.0,Jürgen Melzer,2470.0,45.0,180.0,2605.0,4th round lost to Roger Federer [2]
14.0,16.0,Nicolás Almagro,2150.0,90.0,90.0,2150.0,3rd round lost to Sam Querrey [20]
15.0,17.0,Ivan Ljubičić,2120.0,10.0,10.0,2120.0,1st round lost to Ryan Harrison [Q]
16.0,18.0,Marcos Baghdatis,2095.0,75.0,10.0,2030.0,1st round lost to Arnaud Clément
17.0,19.0,Gaël Monfils,2070.0,180.0,360.0,2250.0,Quarterfinals lost to Novak Djokovic [3]
18.0,20.0,John Isner,1805.0,180.0,90.0,1715.0,3rd round lost to Mikhail Youzhny [12]
19.0,21.0,Mardy Fish,1751.0,0.0,180.0,1931.0,4th round lost to Novak Djokovic [3]
20.0,22.0,Sam Querrey,1705.0,90.0,180.0,1795.0,4th round lost to Stanislas Wawrinka [25]
21.0,23.0,Albert Montañés,1600.0,10.0,180.0,1770.0,4th round lost to Robin Söderling [5]
22.0,24.0,Juan Carlos Ferrero,1560.0,180.0,90.0,1470.0,3rd round lost to Jürgen Melzer [13]
23.0,25.0,Feliciano López,1515.0,10.0,180.0,1685.0,4th round lost to Rafael Nadal [1]
24.0,26.0,Ernests Gulbis,1515.0,10.0,10.0,1515.0,1st round lost to Jérémy Chardy
25.0,27.0,Stanislas Wawrinka,1510.0,10.0,360.0,1860.0,Quarterfinals lost to Mikhail Youzhny [12]
26.0,28.0,Thomaz Bellucci,1480.0,70.0,45.0,1455.0,2nd round lost to Kevin Anderson
27.0,29.0,Fernando González,1340.0,360.0,10.0,990.0,1st round lost to Ivan Dodig [Q]
28.0,30.0,Radek Štěpánek,1320.0,180.0,10.0,1150.0,1st round lost to Julien Benneteau
29.0,31.0,Philipp Kohlschreiber,1315.0,90.0,45.0,1270.0,2nd round lost to Gilles Simon
30.0,32.0,Juan Mónaco,1235.0,10.0,10.0,1235.0,1st round lost to Peter Polansky [Q]
31.0,33.0,David Nalbandian,1235.0,0.0,90.0,1325.0,3rd round lost to Fernando Verdasco [8]
