Driver,Team,Laps,Time/Retired,Grid,Points
Cristiano da Matta,PKV Racing,105.0,1:51:51.404,10.0,33.0
Sébastien Bourdais,Newman/Haas Racing,105.0,+10.128 secs,5.0,29.0
Paul Tracy,Forsythe Racing,105.0,+17.570 secs,3.0,26.0
Mario Domínguez,Forsythe Racing,105.0,+18.640 secs,6.0,23.0
A. J. Allmendinger,RuSPORT,105.0,+26.708 secs,2.0,21.0
Jimmy Vasser,PKV Racing,105.0,+33.477 secs,8.0,19.0
Andrew Ranger,Mi-Jack Conquest Racing,105.0,+40.345 secs,7.0,17.0
Ronnie Bremer,HVM Racing,104.0,+ 1 Lap,9.0,15.0
Björn Wirdheim,HVM Racing,104.0,+ 1 Lap,13.0,13.0
Timo Glock,Rocketsports Racing,104.0,+ 1 Lap,11.0,11.0
Michael Valiante,Dale Coyne Racing,104.0,+ 1 Lap,15.0,10.0
Nelson Philippe,Mi-Jack Conquest Racing,104.0,+ 1 Lap,17.0,9.0
Ricardo Sperafico,Dale Coyne Racing,104.0,+ 1 Lap,14.0,8.0
Marcus Marshall,Team Australia,103.0,+ 2 Laps,18.0,7.0
Ryan Hunter-Reay,Rocketsports Racing,103.0,+ 2 Laps,16.0,6.0
Oriol Servià,Newman/Haas Racing,79.0,Drive shaft,12.0,5.0
Justin Wilson,RuSPORT,45.0,Oil pump,1.0,7.0
Alex Tagliani,Team Australia,8.0,Engine,4.0,3.0
