Year,Winner,Score,Runner(s)-up,Winner's share ($),Course,Location
1967.0,Kathy Whitworth,289 (–11),Sandra Haynie,1500.0,Pekin CC,"Pekin, Illinois"
1966.0,Mickey Wright,302 (+2),"Margie Masters , Jo Ann Prentice",1500.0,Rainbow Springs CC,"Mukwonago, Wisconsin"
1965.0,Susie Maxwell,290 (–2),Marlene Hagge,1500.0,Beverly CC,"Chicago, Illinois"
1964.0,Carol Mann,308 (+8),"Ruth Jessen , Judy Kimball-Simon",1200.0,Scenic Hills CC,"Pensacola, Florida"
1963.0,Mickey Wright,292 (E),Kathy Whitworth,1200.0,Maple Bluff CC,"Madison, Wisconsin"
1962.0,Mickey Wright,295 (+7) PO,Mary Lena Faulk,1200.0,Montgomery CC,"Montgomery, Alabama"
1961.0,Mary Lena Faulk,290 (–10),Betsy Rawls,1313.0,Belle Meade CC,"Nashville, Tennessee"
1960.0,Joyce Ziske,301 (+9) PO,Barbara Romack,1313.0,Beverly CC,"Chicago, Illinois"
1959.0,Betsy Rawls,293 (+5),"JoAnne Gunderson (a), Patty Berg",1313.0,Ranier G&CC,"Seattle, Washington"
1958.0,Patty Berg,293 (+1),Beverly Hanson,950.0,Kahkwa CC,"Erie, Pennsylvania"
1957.0,Patty Berg,291 (–1),Wiffi Smith,1000.0,Montgomery CC,"Montgomery, Alabama"
1956.0,Beverly Hanson,304 (E),Louise Suggs,1000.0,Wakonda CC,"Des Moines, Iowa"
1955.0,Patty Berg,292 (E),"Fay Crocker , Louise Suggs",1000.0,Maple Bluff CC,"Madison, Wisconsin"
