Head of mission,Tenure begins,Tenure ends,French Head of State,Japanese emperor
Jean Daridan,1959.0,1961.0,Charles de Gaulle,Hirohito
Étienne Dennery,1961.0,1964.0,Charles de Gaulle,Hirohito
François Missoffe,1964.0,1966.0,Charles de Gaulle,Hirohito
Louis de Guiringaud,1966.0,1972.0,Georges Pompidou,Hirohito
François Lefebvre de Laboulaye,1972.0,1975.0,Valéry Giscard d'Estaing,Hirohito
Jean-Pierre Brunet,1975.0,1977.0,Valéry Giscard d'Estaing,Hirohito
Louis Dauge,1977.0,1979.0,Valéry Giscard d'Estaing,Hirohito
Xavier Daufresne de la Chevalerie,1979.0,1982.0,François Mitterrand,Hirohito
André Ross,1982.0,1985.0,François Mitterrand,Hirohito
Gilbert Pérol,1985.0,1987.0,François Mitterrand,Hirohito
Bernard Dorin,1987.0,1991.0,François Mitterrand,Akihito
Loïc Hennekinne,1991.0,1993.0,François Mitterrand,Akihito
Jean-Bernard Ouvrieu,1993.0,1998.0,Jacques Chirac,Akihito
Maurice Gourdault-Montagne,1998.0,2002.0,Jacques Chirac,Akihito
Bernard Faubournet de Montferrand,2002.0,2006.0,Jacques Chirac,Akihito
Gildas Le Lidec,2006.0,2007.0,Jacques Chirac,Akihito
