Scorer,Club,League goals,FA Cup goals,League Cup goals,Total
Malcolm Macdonald,Luton Town,24,1.0,2.0,27.0
George Jones,Bury,26,0.0,0.0,26.0
Les Chappell,Reading,25,0.0,0.0,25.0
Steve Earle,Fulham,22,0.0,1.0,23.0
George Kerr,Bury,20,2.0,1.0,23.0
Jimmy Convay,Fulham,22,0.0,0.0,22.0
Ted MacDougall,Bournemouth & Boscombe Athletic,21,0.0,1.0,22.0
George Andrews,Shrewsbury Town / Southport,13+6,0.0,2.0,21.0
Reg Jenkins,Rochdale,20,0.0,0.0,20.0
George Yardley,Tranmere Rovers,17,2.0,1.0,20.0
Terry Bell,Reading / Hartlepool United,2+15,2.0,1.0,20.0
Mickey Bullock,Orient,19,0.0,0.0,19.0
Dudley Roberts,Mansfield Town,18,0.0,0.0,18.0
Mike Bickle,Plymouth Argyle,18,0.0,0.0,18.0
Bobby Ham,Bradford City,16,0.0,2.0,18.0
Robin Stubbs,Bristol Rovers,15,2.0,0.0,17.0
Alan Gilliver,Brighton & Hove Albion,13,2.0,2.0,17.0
Terry Harkin,Shrewsbury Town,16,0.0,0.0,16.0
Tony Field,Southport,16,0.0,0.0,16.0
Alan Welsh,Torquay United,16,0.0,0.0,16.0
John Rudge,Torquay United,14,1.0,1.0,16.0
John Evans,Barnsley,15,0.0,0.0,15.0
Tony Buck,Rochdale,15,0.0,0.0,15.0
Malcolm Partridge,Mansfield Town,13,2.0,0.0,15.0
Brian Yeo,Gillingham,9,5.0,1.0,15.0
Bobby Williams,Reading,14,0.0,0.0,14.0
Ray Graydon,Bristol Rovers,13,1.0,0.0,14.0
Dennis Butler,Rochdale,12,2.0,0.0,14.0
Mike Green,Gillingham,11,3.0,0.0,14.0
Derek Smith,Tranmere Rovers,11,2.0,1.0,14.0
Ken Beamish,Tranmere Rovers,10,3.0,1.0,14.0
Peter Middleton,Bradford City,11,2.0,0.0,13.0
Dai Jones,Mansfield Town,11,2.0,0.0,13.0
Colin Taylor,Walsall,9,4.0,0.0,13.0
Dean,Bournemouth & Boscombe Athletic,12,0.0,0.0,12.0
Carl Gilbert,Bristol Rovers,12,0.0,0.0,12.0
Barrie Fairbrother,Orient,12,0.0,0.0,12.0
John Regan,Doncaster Rovers,12,0.0,0.0,12.0
Matt Tees,Luton Town,11,1.0,0.0,12.0
John Collins,Luton Town,10,2.0,0.0,12.0
Richard Moir,Shrewsbury Town,10,2.0,0.0,12.0
Alex Dawson,Brighton & Hove Albion,9,2.0,1.0,12.0
Jim Mulvaney,Barrow,11,0.0,0.0,11.0
Kit Napier,Brighton & Hove Albion,10,1.0,0.0,11.0
Eddie Loyden,Barnsley,9,2.0,0.0,11.0
Harold Jarman,Bristol Rovers,10,0.0,0.0,10.0
Ken Pound,Gillingham,9,1.0,0.0,10.0
Rowlands,Stockport,9,1.0,0.0,10.0
Bill Atkins,Halifax Town / Portsmouth,7+2,1.0,0.0,10.0
Les O’Neill,Bradford City,8,2.0,0.0,10.0
