Driver,Constructor,Laps,Time/Retired,Grid
Rubens Barrichello,Ferrari,60.0,1:28:37.554,1.0
Juan Pablo Montoya,Williams - BMW,60.0,+5.462,7.0
Kimi Räikkönen,McLaren - Mercedes,60.0,+10.656,3.0
Michael Schumacher,Ferrari,60.0,+25.648,5.0
David Coulthard,McLaren - Mercedes,60.0,+36.827,12.0
Jarno Trulli,Renault,60.0,+43.067,2.0
Cristiano da Matta,Toyota,60.0,+45.085,6.0
Jenson Button,BAR - Honda,60.0,+45.478,20.0
Ralf Schumacher,Williams - BMW,60.0,+58.032,4.0
Jacques Villeneuve,BAR - Honda,60.0,+1:03.569,9.0
Olivier Panis,Toyota,60.0,+1:05.207,13.0
Heinz-Harald Frentzen,Sauber - Petronas,60.0,+1:05.564,14.0
Ralph Firman,Jordan - Ford,59.0,+1 Lap,17.0
Mark Webber,Jaguar - Cosworth,59.0,+1 Lap,11.0
Jos Verstappen,Minardi - Cosworth,58.0,+2 Laps,19.0
Justin Wilson,Minardi - Cosworth,58.0,+2 Laps,18.0
Nick Heidfeld,Sauber - Petronas,58.0,+2 Laps,16.0
Fernando Alonso,Renault,52.0,Gearbox,8.0
Giancarlo Fisichella,Jordan - Ford,44.0,Suspension,15.0
Antônio Pizzonia,Jaguar - Cosworth,32.0,Engine,10.0
