Name,Nationality,Position,Tenure Began,Term Ending
Peter Tomka,Slovakia,President (2012–2015),2003.0,2021.0
Bernardo Sepúlveda Amor,Mexico,Vice-President (2012–2015),2006.0,2015.0
Hisashi Owada,Japan,Member,2003.0,2021.0
Ronny Abraham,France,Member,2005.0,2018.0
Sir Kenneth Keith,New Zealand,Member,2006.0,2015.0
Mohamed Bennouna,Morocco,Member,2006.0,2015.0
Leonid Skotnikov,Russia,Member,2006.0,2015.0
Antônio Augusto Cançado Trindade,Brazil,Member,2009.0,2018.0
Abdulqawi Ahmed Yusuf,Somalia,Member,2009.0,2018.0
Sir Christopher Greenwood,United Kingdom,Member,2009.0,2018.0
Xue Hanqin,People's Republic of China,Member,2010.0,2021.0
Joan E. Donoghue,United States,Member,2010.0,2015.0
Giorgio Gaja,Italy,Member,2012.0,2021.0
Julia Sebutinde,Uganda,Member,2012.0,2021.0
Dalveer Bhandari,India,Member,2012.0,2018.0
