Game,December,Opponent,Score,Record
22.0,2.0,@ Toronto Maple Leafs,5 - 2,13-5-4
23.0,3.0,Boston Bruins,3 - 2,13-6-4
24.0,6.0,St. Louis Blues,7 - 4,14-6-4
25.0,7.0,@ Philadelphia Flyers,5 - 2,15-6-4
26.0,9.0,@ Detroit Red Wings,5 - 4,15-7-4
27.0,10.0,Philadelphia Flyers,4 - 0,15-8-4
28.0,13.0,Los Angeles Kings,8 - 7,16-8-4
29.0,16.0,@ Boston Bruins,4 - 1,16-9-4
30.0,17.0,Boston Bruins,4 - 1,16-10-4
31.0,20.0,Buffalo Sabres,6 - 3,17-10-4
32.0,22.0,Detroit Red Wings,4 - 2,18-10-4
33.0,23.0,@ New York Islanders,9 - 4,18-11-4
34.0,26.0,@ Atlanta Flames,5 - 3,19-11-4
35.0,28.0,@ Philadelphia Flyers,6 - 5,19-12-4
36.0,30.0,@ Chicago Black Hawks,5 - 4,20-12-4
37.0,31.0,Atlanta Flames,6 - 5,20-13-4
