Rank,Player,Club(s),Year(s),U-16 Caps
1.0,Ángel Cuéllar,Betis,1987–1989,26.0
2.0,Julio Iglesias,Barcelona,1987–1989,21.0
2.0,Álvaro Pérez,Athletic Bilbao,1990–1992,21.0
4.0,Curro Montoya,"Hércules , Valencia",1992–1993,20.0
4.0,Diego Ribera,Valencia,1992–1993,20.0
6.0,Iker Casillas,Real Madrid,1996–1998,19.0
6.0,Enrique Medina,"Manises, Valencia",1990–1991,19.0
6.0,Francisco Rufete,"Atlético Benejúzar, Barcelona",1992–1993,19.0
6.0,Carlos Sierra 'Sandro',"Tenerife , Real Madrid",1990–1991,19.0
10.0,Carlos Castro,Sevilla,1990–1991,18.0
10.0,Juan Carlos Gutiérrez,"La Cruz Villanovense, Barcelona",1990–1991,18.0
10.0,Jero Miñarro,"Lorca , Valencia",1992–1994,18.0
10.0,Líbero Parri,Valencia,1998–1999,18.0
10.0,Iván Pérez,Real Madrid,1991–1992,18.0
