Outcome,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final
Runner-up,1978.0,"Kitzbühel , Austria",Clay,Pavel Hutka,Mike Fishbach Chris Lewis,"7–6, 4–6, 3–6"
Runner-up,1978.0,"Madrid , Spain",Clay,Tomáš Šmíd,Wojtek Fibak Jan Kodeš,"7–6, 1–6, 2–6"
Runner-up,1979.0,"Nice , France",Clay,Tomáš Šmíd,Peter McNamara Paul McNamee,"1–6, 6–3, 2–6"
Runner-up,1979.0,"Florence , Italy",Clay,Ivan Lendl,Paolo Bertolucci Adriano Panatta,"4–6, 3–6"
Runner-up,1979.0,"Stuttgart Outdoor , Germany",Clay,Wojtek Fibak,Colin Dowdeswell Frew McMillan,"4–6, 2–6, 6–2, 4–6"
Runner-up,1979.0,"Cologne , Germany",Hard (i),Heinz Günthardt,Gene Mayer Stan Smith,"3–6, 4–6"
Runner-up,1980.0,"Vienna , Austria",Clay,Tomáš Šmíd,Gianni Ocleppo Christophe Roger-Vasselin,DEF
Runner-up,1980.0,"Barcelona , Spain",Clay,Balázs Taróczy,Steve Denton Ivan Lendl,"2–6, 7–6, 3–6"
Runner-up,1980.0,"Vienna , Austria",Hard (i),Heinz Günthardt,Robert Lutz Stan Smith,"1–6, 2–6"
Runner-up,1981.0,"Linz , Austria",Hard (i),Brad Drewett,Anders Järryd Hans Simonsson,"4–6, 6–7"
Runner-up,1981.0,"Nice , France",Clay,Chris Lewis,Yannick Noah Pascal Portes,"6–4, 3–6, 4–6"
Runner-up,1981.0,"Monte Carlo , Monaco",Clay,Tomáš Šmíd,Heinz Günthardt Balázs Taróczy,"3–6, 3–6"
Winner,1981.0,"Florence , Italy",Clay,Raúl Ramírez,Paolo Bertolucci Adriano Panatta,"6–3, 3–6, 6–3"
Winner,1981.0,"Boston , U.S.",Clay,Raúl Ramírez,Hans Gildemeister Andrés Gómez,"6–4, 7–6"
Runner-up,1981.0,"Washington, D.C. , U.S.",Clay,Ferdi Taygan,Raúl Ramírez Van Winitsky,"7–5, 6–7, 6–7"
Runner-up,1981.0,"North Conway , U.S.",Clay,Ferdi Taygan,Heinz Günthardt Peter McNamara,"5–7, 4–6"
Runner-up,1981.0,"Geneva , Switzerland",Clay,Tomáš Šmíd,Heinz Günthardt Balázs Taróczy,"4–6, 6–3, 2–6"
Runner-up,1981.0,"Basel , Switzerland",Hard (i),Markus Günthardt,José Luis Clerc Ilie Năstase,"6–7, 7–6, 6–7"
Winner,1982.0,"Genova WCT , Italy",Carpet,Tomáš Šmíd,Mike Cahill Buster Mottram,"6–7, 7–5, 6–3"
Winner,1982.0,"Brussels , Belgium",Hard (i),Sherwood Stewart,Tracy Delatte Chris Dunk,"6–4, 6–7, 7–5"
Winner,1982.0,"Madrid , Spain",Clay,Tomáš Šmíd,Heinz Günthardt Balázs Taróczy,"6–1, 3–6, 9–7"
Winner,1982.0,"Hamburg , Germany",Clay,Tomáš Šmíd,Anders Järryd Hans Simonsson,"6–4, 6–3"
Runner-up,1982.0,"Kitzbühel , Austria",Clay,Rod Frawley,Mark Edmondson Kim Warwick,"6–4, 4–6, 3–6"
Runner-up,1982.0,"Cap d'Agde WCT , France",Clay,Tomáš Šmíd,Andy Andrews Drew Gitlin,"2–6, 4–6"
Winner,1982.0,"Geneva , Switzerland",Clay,Tomáš Šmíd,Carl Limberger Mike Myburg,"6–4, 6–0"
Runner-up,1982.0,"Basel , Switzerland",Hard (i),Fritz Buehning,Henri Leconte Yannick Noah,"2–6, 2–6"
Winner,1982.0,"Vienna , Austria",Carpet,Henri Leconte,Mark Dickson Terry Moor,"6–1, 7–6"
Winner,1982.0,"Dortmund WCT , Germany",Carpet,Tomáš Šmíd,Mike Cahill Francisco González,"6–2, 6–7, 6–1"
Winner,1982.0,"Toulouse , France",Hard (i),Tomáš Šmíd,Jean-Louis Haillet Yannick Noah,"6–4, 6–4"
Winner,1983.0,"Richmond WCT , U.S.",Carpet,Tomáš Šmíd,Fritz Buehning Brian Teacher,"6–2, 6–4"
Winner,1983.0,"Delray Beach WCT , U.S.",Clay,Tomáš Šmíd,Anand Amritraj Johan Kriek,"7–6, 6–4"
Runner-up,1983.0,"Rotterdam , Netherlands",Hard (i),Peter Fleming,Fritz Buehning Tom Gullikson,"6–7, 6–4, 6–7"
Winner,1983.0,"Milan , Italy",Carpet,Tomáš Šmíd,Fritz Buehning Peter Fleming,"6–2, 5–7, 6–4"
Runner-up,1983.0,"Lisbon , Portugal",Clay,Ferdi Taygan,Carlos Kirmayr Cassio Motta,"5–7, 4–6"
Winner,1983.0,"Madrid , Spain",Clay,Heinz Günthardt,Markus Günthardt Zoltan Kuharszky,"6–3, 6–3"
Winner,1983.0,"Munich , Germany",Clay,Chris Lewis,Anders Järryd Tomáš Šmíd,"6–4, 6–2"
Winner,1983.0,"Gstaad , Switzerland",Clay,Tomáš Šmíd,Colin Dowdeswell Wojtek Fibak,"6–7, 6–4, 6–2"
Runner-up,1983.0,"Stuttgart Outdoor , Germany",Clay,Tomáš Šmíd,Anand Amritraj Mike Bauer,"6–4, 3–6, 2–6"
Winner,1983.0,"Kitzbühel , Austria",Clay,Wojtek Fibak,Colin Dowdeswell Zoltan Kuharszky,"7–5, 6–2"
Winner,1983.0,"Basel , Switzerland",Hard (i),Tomáš Šmíd,Stefan Edberg Florin Segărceanu,"6–1, 3–6, 7–6"
Winner,1983.0,"Toulouse , France",Hard (i),Heinz Günthardt,Bernard Mitton Butch Walts,"5–7, 7–5, 6–4"
Winner,1984.0,"Masters Doubles WCT , London",Carpet,Tomáš Šmíd,Anders Järryd Hans Simonsson,"1–6, 6–3, 3–6, 6–1, 6–3"
Winner,1984.0,"Milan , Italy",Carpet,Tomáš Šmíd,Kevin Curren Steve Denton,"6–4, 6–3"
