Nat.,Name,Moving from,Type,Transfer window,Ends,Transfer fee
ARG,Arruabarrena,Villarreal,Transfer,Summer,2010.0,Free
GRE,Pavlis,Youth system,Promotion,Summer,2010.0,—
BRA,Manduca,Youth system,Transfer,Summer,2010.0,€750K
BRA,Edson Ratinho,Mogi Mirim,Transfer,Summer,2012.0,€250K
CAN MWI,Nsaliwa,Panionios,Transfer,Summer,2010.0,€450K
BRA,Rivaldo,Olympiacos,Transfer,Summer,2009.0,Free
GRE,Bourbos,Kerkyra,Loan Return,Summer,2010.0,—
GRE,Zorbas,Niki Volos,Loan Return,Summer,2011.0,—
CYP,Tofas,Ethnikos Piraeus,Loan Return,Summer,2010.0,—
GRE,Koutromanos,Thrasyvoulos,Loan Return,Summer,2011.0,—
POR,Geraldo,Paços de Ferreira,Transfer,Summer,2010.0,€300K
ARG,Azcárate,AtléticoMadrid,Transfer,Summer,2011.0,Free
GRE,Pappas,Olympiacos,Transfer,Summer,2010.0,Free
GRE ROM,Barboudis,Ilisiakos,Transfer,Summer,2010.0,€60K
BRA,Moretto,Benfica,Loan,Summer,2008.0,Free
SEN,Diouf,Xam-Xam,Transfer,Summer,2011.0,Free
ARG,Blanco,Colón,Loan,Summer,2008.0,€450K
POR,Manú,Benfica,Loan,Summer,2008.0,Free
AUT,Macho,1. FC Kaiserslautern,Transfer,Summer,2009.0,€300K
GRE,Tachtsidis,Youth system,Promotion,Summer,2010.0,—
GRE,Gentsoglou,Panachaiki,Loan return,Winter,2013.0,—
SLE,Kallon,Monaco,Transfer,Winter,2008.0,Free
POR,Edinho,VitóriadeSetúbal,Loan,Winter,2008.0,€150K
