Week,Date,Opponent,Result,Attendance
1.0,"September 21, 1969",at New Orleans Saints,W 26-20,73147.0
2.0,"September 28, 1969",at Cleveland Browns,L 27-23,82581.0
3.0,"October 5, 1969",at San Francisco 49ers,T 17-17,35642.0
4.0,"October 12, 1969",St. Louis Cardinals,W 33-17,50481.0
5.0,"October 19, 1969",New York Giants,W 20-14,50352.0
6.0,"October 26, 1969",at Pittsburgh Steelers,W 14-7,46557.0
7.0,"November 2, 1969",at Baltimore Colts,L 41-17,60238.0
8.0,"November 9, 1969",Philadelphia Eagles,T 28-28,50502.0
9.0,"November 16, 1969",Dallas Cowboys,L 41-28,50474.0
10.0,"November 23, 1969",Atlanta Falcons,W 27-20,50345.0
11.0,"November 30, 1969",Los Angeles Rams,L 24-13,50352.0
12.0,"December 7, 1969",at Philadelphia Eagles,W 34-29,60658.0
13.0,"December 14, 1969",New Orleans Saints,W 17-14,50354.0
14.0,"December 21, 1969",at Dallas Cowboys,L 20-10,56924.0
