Game,Date,Opponent,Score,Location,Attendance,Record,Points
51.0,February 3,New York Islanders,1 - 3,Nassau Veterans Memorial Coliseum,9808.0,17-24-10,44.0
52.0,February 4,Pittsburgh Penguins,3 - 4 OT,Mellon Arena,16977.0,17-24-11,45.0
53.0,February 7,New York Islanders,1 - 0,St. Pete Times Forum,14810.0,18-24-11,47.0
54.0,February 10,Atlanta Thrashers,1 - 3,St. Pete Times Forum,13490.0,18-25-11,47.0
55.0,February 12,Toronto Maple Leafs,6 - 4,St. Pete Times Forum,16526.0,19-25-11,49.0
56.0,February 14,Washington Capitals,1 - 5,St. Pete Times Forum,17249.0,19-26-11,49.0
57.0,February 17,Chicago Blackhawks,3 - 5,St. Pete Times Forum,15431.0,19-27-11,49.0
58.0,February 19,New Jersey Devils,2 - 3 SO,St. Pete Times Forum,14408.0,19-27-12,50.0
59.0,February 20,Carolina Hurricanes,1 - 4,RBC Center,17711.0,19-28-12,50.0
60.0,February 22,Boston Bruins,4 - 3,St. Pete Times Forum,18454.0,20-28-12,52.0
61.0,February 24,Edmonton Oilers,3 - 5,Rexall Place,16839.0,20-29-12,52.0
62.0,February 27,Vancouver Canucks,1 - 2,General Motors Place,18630.0,20-30-12,52.0
