Driver,Constructor,Laps,Time/Retired,Grid
Jochen Rindt,Lotus - Ford,108.0,1:57:56.84,1.0
Piers Courage,Brabham - Ford,108.0,+ 46.99,9.0
John Surtees,BRM,106.0,+ 2 Laps,11.0
Jack Brabham,Brabham - Ford,106.0,+ 2 Laps,18.0
Pedro Rodríguez,Ferrari,101.0,+ 7 Laps,12.0
Silvio Moser,Brabham - Ford,98.0,+ 10 Laps,17.0
Johnny Servoz-Gavin,Matra - Ford,92.0,Not Classified,15.0
Graham Hill,Lotus - Ford,90.0,Accident,4.0
Jacky Ickx,Brabham - Ford,77.0,Engine,8.0
George Eaton,BRM,76.0,Engine,9.0
Jean-Pierre Beltoise,Matra - Ford,72.0,Engine,7.0
Denny Hulme,McLaren - Ford,52.0,Gearbox,2.0
Jackie Stewart,Matra - Ford,35.0,Engine,3.0
Pete Lovely,Lotus - Ford,25.0,Halfshaft,16.0
Jackie Oliver,BRM,23.0,Engine,14.0
Jo Siffert,Lotus - Ford,3.0,Fuel System,13.0
Mario Andretti,Lotus - Ford,3.0,Suspension,5.0
Bruce McLaren,McLaren - Ford,0.0,Engine,6.0
