Venue,Hosted,Average,Highest,Lowest,Total,Last Year,Up/Down
MCG,44.0,47425.0,83905.0,17566.0,2086712.0,"46,141",+ 1284
Football Park,22.0,35208.0,49846.0,22423.0,774580.0,"32,424",+ 2784
Colonial Stadium,43.0,31939.0,50701.0,12566.0,1373371.0,"30,524",+ 1415
GABBA,12.0,27313.0,36149.0,20059.0,327754.0,"27,406",– 93
SCG,13.0,27159.0,40131.0,20611.0,353069.0,"22,390",+ 4769
Subiaco Oval,22.0,26964.0,41285.0,15136.0,593202.0,"30,326",– 3362
Optus Oval,9.0,23417.0,30067.0,15622.0,210750.0,"24,656",– 1239
Shell Stadium,7.0,21445.0,27421.0,14298.0,150114.0,"22,108",– 663
York Park,1.0,17460.0,17460.0,17460.0,17460.0,N/A,N/A
Manuka Oval,3.0,11368.0,13117.0,10030.0,34105.0,N/A,N/A
Totals,176.0,33643.0,83905.0,10030.0,5921117.0,"32,618",+ 1025
