Year,Competition,Venue,Distance,Result
2006.0,Sevilla Half Marathon,"Seville , Spain",Half marathon,1st
2006.0,San Silvestre Olivais 10K,"Barcelona , Spain",10km,1st
2007.0,Almeria Half Marathon,"Almeria , Spain",Half marathon,1st
2007.0,Vitry-sur-Seine Humarathon,"Paris , France",Half marathon,1st
2007.0,Puy-en-Velay 15k,"Puy-en-Velay , France",15km,1st
2007.0,Lille Half Marathon,"Lille , France",Half marathon,1st
2007.0,World Road Running Championships,"Udine , Italy",Half marathon,2nd
2009.0,World Half Marathon Championships,"Birmingham , England",Half marathon,1st
2009.0,Delhi Half Marathon,"New Delhi , India",Half marathon,1st
2011.0,Ras Al Khaimah Half Marathon,UAE,Half marathon,1st (WR)
2011.0,London Marathon,"London , UK",Marathon,1st
2012.0,London Marathon,"London , UK",Marathon,1st (PB)
