P,Player,Position,SPL,League Cup,Scottish Cup,UEFA Champions League,Total
1.0,Scott McDonald,Forward,16.0,1.0,1.0,1.0,19.0
2.0,Georgios Samaras,Forward,15.0,2.0,0.0,0.0,17.0
3.0,Shunsuke Nakamura,Midfielder,8.0,1.0,0.0,0.0,9.0
4.0,Scott Brown,Midfielder,5.0,1.0,1.0,0.0,7.0
4.0,Aiden McGeady,Midfielder,3.0,2.0,1.0,1.0,7.0
5.0,Jan Vennegoor of Hesselink,Forward,6.0,0.0,0.0,0.0,6.0
6.0,Shaun Maloney,Midfielder,4.0,0.0,0.0,1.0,5.0
7.0,Cillian Sheridan,Forward,4.0,0.0,0.0,0.0,4.0
7.0,Stephen McManus,Defender,4.0,0.0,0.0,0.0,4.0
7.0,Glenn Loovens,Defender,3.0,1.0,0.0,0.0,4.0
8.0,Paul Hartley,Midfielder,3.0,0.0,0.0,0.0,3.0
8.0,Gary Caldwell,Defender,2.0,0.0,1.0,0.0,3.0
9.0,Barry Robson,Midfielder,1.0,0.0,0.0,1.0,2.0
9.0,Darren O'Dea,Defender,1.0,1.0,0.0,0.0,2.0
10.0,Koki Mizuno,Defender,1.0,0.0,0.0,0.0,1.0
10.0,Marc Crosas,Defender,1.0,0.0,0.0,0.0,1.0
