Week,Date,Opponent,Result,Game site,Record,Attendance
1.0,"September 2, 1979",San Diego Chargers,L 16-33,Kingdome,0-1,62887.0
2.0,"September 9, 1979",at Miami Dolphins,L 10-19,Miami Orange Bowl,0-2,56233.0
3.0,"September 16, 1979",Oakland Raiders,W 27-10,Kingdome,1-2,61602.0
4.0,"September 23, 1979",at Denver Broncos,L 34-37,Mile High Stadium,1-3,74879.0
5.0,"September 30, 1979",Kansas City Chiefs,L 6-24,Kingdome,1-4,61169.0
6.0,"October 7, 1979",at San Francisco 49ers,W 35-24,Candlestick Park,2-4,44592.0
7.0,"October 14, 1979",at San Diego Chargers,L 10-20,San Diego Stadium,2-5,50077.0
8.0,"October 21, 1979",Houston Oilers,W 34-14,Kingdome,3-5,60705.0
9.0,"October 29, 1979",at Atlanta Falcons,W 31-28,Atlanta-Fulton County Stadium,4-5,52566.0
10.0,"November 4, 1979",Los Angeles Rams,L 0-24,Kingdome,4-6,62048.0
11.0,"November 11, 1979",at Cleveland Browns,W 29-24,Cleveland Stadium,5-6,72440.0
12.0,"November 18, 1979",New Orleans Saints,W 38-24,Kingdome,6-6,60055.0
13.0,"November 26, 1979",New York Jets,W 30-7,Kingdome,7-6,59977.0
14.0,"December 2, 1979",at Kansas City Chiefs,L 21-37,Arrowhead Stadium,7-7,42160.0
15.0,"December 8, 1979",Denver Broncos,W 28-23,Kingdome,8-7,60038.0
16.0,"December 16, 1979",at Oakland Raiders,W 29-24,Oakland-Alameda County Coliseum,9-7,53177.0
